,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value,10
86,Automobiles,"TWAS Holdings, LLC*+One stop",One stop,SF +6.75(k),11.17,12/2026,30488,30231,1.2,30184,
87,Automobiles,"TWAS Holdings, LLC+One stop",One stop,SF +6.75(k),11.17,12/2026,7914,7849,0.3,7835,
88,Automobiles,"TWAS Holdings, LLC+One stop",One stop,SF +6.75(k),11.17,12/2026,608,603,-,602,
89,Automobiles,"TWAS Holdings, LLC+One stop",One stop,SF +6.75(k),11.17,12/2026,386,383,-,382,
90,Automobiles,"TWAS Holdings, LLC+(5)",One stop,SF +6.75,N/A(6),12/2026,-,(3),-,(4),
91,Beverages,Beverages,One stop,,,,,,,,
92,Beverages,"Fintech Midco, LLC*#",One stop,L +5.0(b)(c),9.93,08/2024,23852,23980,1.0,23613,
93,Beverages,"Fintech Midco, LLC+One stop",One stop,L +5.0(b)(c),9.93,08/2024,15145,15062,0.6,14994,
94,Beverages,"Fintech Midco, LLC#+One stop",One stop,L +5.0(b)(c),9.93,08/2024,1105,1120,-,1093,
95,Beverages,"Fintech Midco, LLC+(5)",One stop,L +5.0,N/A(6),08/2024,-,-,-,(2),
96,Beverages,"Watermill Express, LLC+One stop",One stop,L +5.5(b),10.23,04/2027,2239,2222,0.1,2239,
97,Beverages,"Watermill Express, LLC+One stop",One stop,L +5.5,N/A(6),04/2027,-,-,-,-,
98,Beverages,"Watermill Express, LLC+One stop",One stop,L +5.5(b),10.23,04/2027,134,133,-,134,
99,Beverages,"Winebow Holdings, Inc.+One stop",One stop,L +6.25(a),10.63,07/2025,7780,7709,0.3,7780,
100,Building Products,Building Products,One stop,,,,,,,,
101,Building Products,"BECO Holding Company, Inc.#+One stop",One stop,L +5.25(b),9.98,11/2028,7519,7456,0.3,7293,
102,Building Products,"BECO Holding Company, Inc.+(5)",One stop,L +5.25,N/A(6),11/2027,-,(4),-,(11),
103,Building Products,"BECO Holding Company, Inc.+(5)",One stop,L +5.25,N/A(6),11/2028,-,(16),-,(58),
104,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L +4.5(b)(c),9.43,03/2024,4095,4096,0.2,4095,
105,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L +4.5(b)(c),9.43,03/2024,1385,1397,0.1,1385,
106,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L +4.5(b)(c),9.43,03/2024,893,897,0.1,893,
107,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L +4.5(b)(c),9.43,03/2024,842,838,-,842,
108,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L +4.5(b)(c),9.43,03/2024,428,434,-,428,
109,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L +4.5(b)(c),9.43,03/2024,273,274,-,273,
110,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L +4.5(b)(c),9.50,03/2024,884,877,-,884,
111,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L +4.5(b)(c),9.43,03/2024,213,213,-,213,
112,Building Products,"Jensen Hughes, Inc.+Senior loan",One stop,L +4.5(b)(c),9.43,03/2024,114,114,-,114,
113,Chemicals,Chemicals,One stop,,,,,,,,
114,Chemicals,Inhance Technologies Holdings LLC#+One stop,One stop,L +5.25(b),8.99,07/2024,12412,12462,0.5,12163,
115,Chemicals,Inhance Technologies Holdings LLC+One stop,One stop,L +5.25(b),8.99,07/2024,9888,9829,0.4,9690,
116,Chemicals,Inhance Technologies Holdings LLC+One stop,One stop,L +5.25(b),8.99,07/2024,1886,1881,0.1,1849,
117,Chemicals,Inhance Technologies Holdings LLC+One stop,One stop,L +5.25(b),8.99,07/2024,21,22,-,17,
118,Chemicals,PHM NL SP Bidco B.V.+(8)(9)(14),One stop,E +6.25(f),8.11,09/2028,33905,36159,1.3,32209,
119,Chemicals,PHM NL SP Bidco B.V.+(8)(14),One stop,L +6.25(c),10.42,09/2028,13766,13568,0.5,13077,
120,Chemicals,PHM NL SP Bidco B.V.+(8)(9)(14),One stop,SN +6.25(i),9.68,09/2028,7271,7915,0.3,6907,
121,Chemicals,PHM NL SP Bidco B.V.+(8)(9)(14),One stop,E +6.25(f),8.72,09/2028,3584,3713,0.1,3363,
122,Commercial Services & Supplies,Commercial Services & Supplies,One stop,,,,,,,,
123,Commercial Services & Supplies,"CI (Quercus) Intermediate Holdings, LLC*#+One stop",One stop,L +5.25(b),9.98,10/2028,16903,16705,0.7,16564,
124,Commercial Services & Supplies,"CI (Quercus) Intermediate Holdings, LLC+(5)",One stop,L +5.25,N/A(6),10/2028,-,(2),-,(4),
125,Commercial Services & Supplies,"CI (Quercus) Intermediate Holdings, LLC+(5)",One stop,L +5.25,N/A(6),10/2028,-,(14),-,(30),
126,Commercial Services & Supplies,Hydraulic Authority III Limited+(8)(9)(10),One stop,SN +5.0(i),8.46,11/2025,10453,11000,0.4,10453,
127,Commercial Services & Supplies,Hydraulic Authority III Limited+(8)(9)(10),One stop,E +5.0(e),7.20,11/2025,1152,1120,0.1,1152,
128,Commercial Services & Supplies,Hydraulic Authority III Limited+(8)(9)(10)(22),One stop,No Value,11.00PIK,11/2028,261,277,-,261,
129,Commercial Services & Supplies,Hydraulic Authority III Limited+(8)(9)(10),One stop,SN +5.0,N/A(6),11/2025,-,-,-,-,
130,Commercial Services & Supplies,"North Haven Stack Buyer, LLC*+One stop",One stop,SF +5.5(k),9.92,07/2027,8744,8611,0.3,8483,
131,Commercial Services & Supplies,"North Haven Stack Buyer, LLC+One stop",One stop,SF +5.5(k),9.92,07/2027,354,333,-,270,
132,Commercial Services & Supplies,"North Haven Stack Buyer, LLC+One stop",One stop,SF +5.5(k),9.92,07/2027,50,49,-,46,
133,Commercial Services & Supplies,"North Haven Stack Buyer, LLC+One stop",One stop,SF +5.5(k),9.92,07/2027,2945,2923,0.1,2857,
134,Commercial Services & Supplies,"North Haven Stack Buyer, LLC+One stop",One stop,SF +5.5(k),9.92,07/2027,972,964,-,942,
135,Commercial Services & Supplies,"OVG Business Services, LLC+One stop",One stop,L +6.25(a),10.64,11/2028,1795,1761,0.1,1759,
136,Commercial Services & Supplies,"OVG Business Services, LLC+(5)",One stop,L +5.5,N/A(6),11/2026,-,-,-,(1),
137,Commercial Services & Supplies,Profile Products LLC+(8),One stop,L +5.5(b),10.14,11/2027,5913,5805,0.2,5795,
138,Commercial Services & Supplies,Profile Products LLC+(8),One stop,L +5.5(b),10.14,11/2027,1285,1264,0.1,1259,
139,Commercial Services & Supplies,Profile Products LLC+(8),One stop,L +5.5(a)(d),10.67,11/2027,32,31,-,31,
140,Commercial Services & Supplies,Profile Products LLC+(5)(8),One stop,L +5.5,N/A(6),11/2027,-,(3),-,(9),
141,Commercial Services & Supplies,Profile Products LLC+(5)(8),One stop,L +5.5,N/A(6),11/2027,-,(1),-,(1),
142,Commercial Services & Supplies,"PT Intermediate Holdings III, LLC+One stop",One stop,L +5.5(b),10.23,11/2028,29448,28984,1.2,29154,
143,Commercial Services & Supplies,"PT Intermediate Holdings III, LLC+One stop",One stop,L +5.5(b),10.23,11/2028,20821,20637,0.8,20613,
144,Commercial Services & Supplies,"PT Intermediate Holdings III, LLC+One stop",One stop,L +5.5(b),10.23,11/2028,9875,9755,0.4,9776,
145,Commercial Services & Supplies,"Radwell Parent, LLC+One stop",One stop,SF +6.53(l),11.21,03/2029,19028,18753,0.7,18351,
146,Commercial Services & Supplies,"Radwell Parent, LLC+(5)",One stop,SF +6.75,N/A(6),03/2028,-,(5),-,(10),
147,Commercial Services & Supplies,"Radwell Parent, LLC+(5)",One stop,SF +6.53,N/A(6),03/2029,-,(8),-,(19),
148,Commercial Services & Supplies,"Radwell Parent, LLC+One stop",One stop,SF +6.75(l),11.33,03/2029,24950,24212,1.0,24202,
149,Commercial Services & Supplies,Trinity Air Consultants Holdings Corporation+One stop,One stop,L +5.25(c),10.18,06/2027,2458,2421,0.1,2409,
150,Commercial Services & Supplies,Trinity Air Consultants Holdings Corporation+One stop,One stop,L +5.25(c),9.40,06/2027,33,32,-,31,
151,Commercial Services & Supplies,Trinity Air Consultants Holdings Corporation+One stop,One stop,L +5.25,N/A(6),06/2027,-,-,-,-,
152,Commercial Services & Supplies,WRE Holding Corp.*#,Senior loan,SF +5.0(k)(l),9.60,01/2025,2223,2216,0.1,2223,
153,Commercial Services & Supplies,WRE Holding Corp.+Senior loan,Senior loan,SF +5.0(k)(l),9.60,01/2025,918,915,-,918,
154,Commercial Services & Supplies,WRE Holding Corp.+Senior loan,Senior loan,SF +5.0(k)(l),9.60,01/2025,673,671,-,673,
155,Commercial Services & Supplies,WRE Holding Corp.+Senior loan,Senior loan,SF +5.0(k)(m),9.60,01/2025,398,397,-,398,
156,Commercial Services & Supplies,WRE Holding Corp.+Senior loan,Senior loan,SF +5.0(k)(l),9.60,01/2025,128,128,-,128,
157,Commercial Services & Supplies,WRE Holding Corp.+Senior loan,Senior loan,SF +5.0(k)(m),9.60,01/2025,23,23,-,23,
158,Commercial Services & Supplies,WRE Holding Corp.+Senior loan,Senior loan,SF +5.0,N/A(6),01/2025,-,-,-,-,
159,Commercial Services & Supplies,WRE Holding Corp.+Senior loan,Senior loan,SF +5.0(k)(l)(m),9.35,01/2025,59,57,-,59,
160,Communications Equipment,Communications Equipment,Senior loan,,,,,,,,
161,Communications Equipment,Lightning Finco Limited+(8)(10),One stop,L +5.5(b),10.23,09/2028,10349,10182,0.4,10039,
162,Communications Equipment,Lightning Finco Limited+(8)(9)(10),One stop,E +5.5(e),7.45,09/2028,1137,1241,-,1103,
163,Containers and Packaging,Containers and Packaging,One stop,,,,,,,,
164,Containers and Packaging,AmerCareRoyal LLC+(22),Senior loan,SF +5.5(l),9.48cash/0.50PIK,11/2025,746,738,-,739,
165,Containers and Packaging,AmerCareRoyal LLC+(22),Senior loan,SF +5.5(l),9.48cash/0.50PIK,11/2025,159,157,-,158,
166,Containers and Packaging,AmerCareRoyal LLC+(22),Senior loan,SF +5.5(l),9.48cash/0.50PIK,11/2025,155,153,-,153,
167,Containers and Packaging,AmerCareRoyal LLC+(8)(22),Senior loan,SF +5.5(l),9.48cash/0.50PIK,11/2025,134,132,-,133,
168,Containers and Packaging,Chase Intermediate+One stop,Senior loan,L +5.0(b)(c),9.85,10/2028,10253,10172,0.4,10048,
169,Containers and Packaging,Chase Intermediate+(5),One stop,SF +5.0,N/A(6),10/2028,-,(3),-,(7),
170,Containers and Packaging,Chase Intermediate+(5),One stop,SF +5.0,N/A(6),10/2028,-,(7),-,(16),
171,Containers and Packaging,"Fortis Solutions Group, LLC*#+One stop",One stop,L +5.5(b),9.73,10/2028,34665,34173,1.4,33971,
172,Containers and Packaging,"Fortis Solutions Group, LLC+One stop",One stop,L +5.5(c)(d),10.83,10/2027,40,35,-,34,
173,Containers and Packaging,"Fortis Solutions Group, LLC+(5)",One stop,L +5.5,N/A(6),10/2028,-,(93),-,(2),
174,Containers and Packaging,"Fortis Solutions Group, LLC+(5)",One stop,L +5.5,N/A(6),10/2028,-,(39),-,(112),
175,Distributors,Distributors,One stop,,,,,,,,
176,Distributors,WSC Holdings Midco LLC+Senior loan,One stop,SF +4.5(m),9.15,07/2027,1238,1226,-,1238,
177,Distributors,WSC Holdings Midco LLC+Senior loan,One stop,SF +4.5(m),9.28,07/2027,1788,1774,0.1,1788,
178,Distributors,WSC Holdings Midco LLC+Senior loan,One stop,SF +4.5(m),9.20,07/2027,2954,2925,0.1,2954,
179,Distributors,WSC Holdings Midco LLC+(5),Senior loan,SF +4.5,N/A(6),07/2027,-,(1),-,-,
180,Distributors,WSC Holdings Midco LLC+Senior loan,Senior loan,SF +4.5(m),8.77,07/2027,50,49,-,50,
181,Diversified Consumer Services,Diversified Consumer Services,Senior loan,,,,,,,,
182,Diversified Consumer Services,"Certus Pest, Inc.#",One stop,SF +7.5(l),12.23,02/2026,1585,1551,0.1,1585,
183,Diversified Consumer Services,"Certus Pest, Inc.#",One stop,SF +7.5(l),12.23,02/2026,1520,1472,0.1,1520,
184,Diversified Consumer Services,"Certus Pest, Inc.+One stop",One stop,SF +7.5(l),12.18,02/2026,1096,1091,-,1096,
185,Diversified Consumer Services,"Certus Pest, Inc.#",One stop,SF +7.5(l),12.23,02/2026,1080,1066,-,1080,
186,Diversified Consumer Services,"Certus Pest, Inc.+One stop",One stop,SF +7.5(l),12.23,02/2026,751,734,-,751,
187,Diversified Consumer Services,"Certus Pest, Inc.#",One stop,SF +7.5(l),12.23,02/2026,662,629,-,662,
188,Diversified Consumer Services,"Certus Pest, Inc.+One stop",One stop,SF +7.5(l),12.23,02/2026,645,638,-,645,
189,Diversified Consumer Services,"Certus Pest, Inc.+One stop",One stop,SF +7.5(l),12.23,02/2026,381,371,-,381,
190,Diversified Consumer Services,"Certus Pest, Inc.+One stop",One stop,SF +7.5(l),12.23,02/2026,239,224,-,239,
191,Diversified Consumer Services,"Certus Pest, Inc.+One stop",One stop,SF +7.5(l),12.23,02/2026,130,106,-,130,
192,Diversified Consumer Services,"Certus Pest, Inc.+One stop",One stop,SF +7.5(l),12.23,02/2026,55,50,-,55,
193,Diversified Consumer Services,"Certus Pest, Inc.+(5)",One stop,SF +7.5,N/A(6),02/2026,-,(1),-,-,
194,Diversified Consumer Services,"CHHJ Midco, LLC#",Senior loan,L +5.0(a),9.38,01/2026,2716,2699,0.1,2716,
195,Diversified Consumer Services,"CHHJ Midco, LLC+Senior loan",Senior loan,L +5.0,N/A(6),01/2026,-,-,-,-,
196,Diversified Consumer Services,"COP Hometown Acquisitions, Inc.+Senior loan",Senior loan,L +4.5(b),8.24,07/2027,1708,1695,0.1,1676,
197,Diversified Consumer Services,"COP Hometown Acquisitions, Inc.+Senior loan",Senior loan,L +4.5(b),8.24,07/2027,1665,1645,0.1,1633,
198,Diversified Consumer Services,"COP Hometown Acquisitions, Inc.+Senior loan",Senior loan,L +4.5(b),8.37,07/2027,1091,1080,0.1,1070,
199,Diversified Consumer Services,"COP Hometown Acquisitions, Inc.+Senior loan",Senior loan,L +4.5(b),8.70,07/2027,771,763,-,756,
200,Diversified Consumer Services,"COP Hometown Acquisitions, Inc.+Senior loan",Senior loan,L +4.5(b),8.24,07/2027,199,196,-,195,
201,Diversified Consumer Services,"COP Hometown Acquisitions, Inc.+Senior loan",Senior loan,L +4.75(b),9.42,07/2027,120,118,-,119,
202,Diversified Consumer Services,"COP Hometown Acquisitions, Inc.+(5)",Senior loan,L +4.5,N/A(6),07/2027,-,-,-,(1),
203,Diversified Consumer Services,"DP Flores Holdings, LLC#",One stop,SF +6.5(m),11.23,09/2028,2593,2550,0.1,2593,
204,Diversified Consumer Services,"DP Flores Holdings, LLC+(5)",One stop,SF +6.5,N/A(6),09/2028,-,(2),-,-,
205,Diversified Consumer Services,"DP Flores Holdings, LLC+(5)",One stop,SF +6.5,N/A(6),09/2028,-,(14),-,-,
206,Diversified Consumer Services,"EMS LINQ, LLC+One stop",One stop,L +6.25(a),10.63,12/2027,9591,9512,0.4,9400,
207,Diversified Consumer Services,"EMS LINQ, LLC+(5)",One stop,L +6.25,N/A(6),12/2027,-,(1),-,(3),
208,Diversified Consumer Services,EWC Growth Partners LLC+One stop,One stop,L +6.0(b),10.73,03/2026,927,918,-,918,
209,Diversified Consumer Services,EWC Growth Partners LLC+One stop,One stop,L +6.0,N/A(6),03/2026,-,-,-,-,
210,Diversified Consumer Services,EWC Growth Partners LLC+One stop,One stop,L +6.0(b),10.73,03/2026,14,14,-,14,
211,Diversified Consumer Services,EWC Growth Partners LLC+One stop,One stop,L +6.0(b),10.73,03/2026,73,73,-,73,
212,Diversified Consumer Services,Excelligence Learning Corporation#+One stop,One stop,SF +6.0(l),10.73,01/2024,10240,10197,0.4,10240,
213,Diversified Consumer Services,"FPG Intermediate Holdco, LLC+One stop",One stop,SF +6.0(k),10.42,03/2027,9075,8948,0.4,8744,
214,Diversified Consumer Services,"FPG Intermediate Holdco, LLC+One stop",One stop,SF +6.0(k),10.42,03/2027,543,532,-,516,
215,Diversified Consumer Services,"FPG Intermediate Holdco, LLC+One stop",One stop,P +5.0(d)(k),12.31,03/2027,32,31,-,29,
216,Diversified Consumer Services,"FPG Intermediate Holdco, LLC+(5)",One stop,SF +6.5,N/A(6),03/2027,-,(13),-,(14),
217,Diversified Consumer Services,FSS Buyer LLC+One stop,One stop,L +5.75(a),10.13,08/2028,5477,5389,0.2,5423,
218,Diversified Consumer Services,FSS Buyer LLC+(5),One stop,L +5.75,N/A(6),08/2027,-,(1),-,-,
219,Diversified Consumer Services,"HS Spa Holdings, Inc.+One stop",One stop,SF +5.75(m),10.45,06/2029,7763,7620,0.3,7608,
220,Diversified Consumer Services,"HS Spa Holdings, Inc.+(5)",One stop,SF +5.75,N/A(6),06/2028,-,(2),-,(2),
221,Diversified Consumer Services,"Learn-it Systems, LLC+Senior loan",One stop,L +4.75(c),8.92,03/2025,2491,2512,0.1,2291,
222,Diversified Consumer Services,"Learn-it Systems, LLC+Senior loan",One stop,L +4.75(c),9.90,03/2025,1340,1338,0.1,1233,
223,Diversified Consumer Services,"Learn-it Systems, LLC+Senior loan",One stop,L +4.75(c),9.90,03/2025,604,596,-,556,
224,Diversified Consumer Services,"Learn-it Systems, LLC+Senior loan",One stop,L +4.75(c),9.90,03/2025,33,32,-,29,
225,Diversified Consumer Services,"Liminex, Inc.+One stop",One stop,SF +7.25(l),11.98,11/2026,25462,25149,1.0,25971,
