,0,1,2,3,4,5,6,7,8,9,10,11,12,13
40,"Beverage, Food and Tobacco","Atkins Nutritionals, Inc.*",One stop,L + 8.50,9.75,04/2019,,18997,,18642,,2.7,,19281
41,"Beverage, Food and Tobacco","C. J. Foods, Inc.",One stop,L + 5.50,6.50,05/2019,,43,,34,,0,,37
42,"Beverage, Food and Tobacco","C. J. Foods, Inc.  (3)",One stop,L + 5.50,(4),05/2019,,0,,(13,,0,,(9
43,"Beverage, Food and Tobacco","C. J. Foods, Inc.",One stop,L + 5.50,6.50,05/2019,,3232,,3185,,0.4,,3200
44,"Beverage, Food and Tobacco","Candy Intermediate Holdings, Inc. (Ferrara  Candy)^",Senior loan,L + 6.25,6.57,06/2018,,4900,,4784,,0.7,,4849
45,"Beverage, Food and Tobacco","Diversified Foodservice Supply, Inc.",Senior loan,P + 3.75,7.00,12/2018,,96,,93,,0,,96
46,"Beverage, Food and Tobacco","Diversified Foodservice Supply, Inc.*",Senior loan,L + 4.75,6.00,12/2018,,4606,,4565,,0.6,,4606
47,"Beverage, Food and Tobacco","Firebirds International, LLC",One stop,L + 5.75,7.00,05/2018,,41,,40,,0,,41
48,"Beverage, Food and Tobacco","Firebirds International, LLC*",One stop,L + 5.75,7.00,05/2018,,905,,896,,0.1,,905
49,"Beverage, Food and Tobacco","Firebirds International, LLC",One stop,L + 5.75,7.00,05/2018,,262,,259,,0,,262
50,"Beverage, Food and Tobacco","Firebirds International, LLC  (3)",One stop,L + 5.75,(4),05/2018,,0,,(3,,0,,0
51,"Beverage, Food and Tobacco","First Watch Restaurants, Inc.  (3)",One stop,L + 7.50,(4),12/2018,,0,,(25,,0,,0
52,"Beverage, Food and Tobacco","First Watch Restaurants, Inc.*^",One stop,L + 7.50,8.75,12/2018,,11293,,11157,,1.6,,11293
53,"Beverage, Food and Tobacco","First Watch Restaurants, Inc.*^",One stop,P + 6.50,9.75,12/2018,,3107,,3070,,0.5,,3107
54,"Beverage, Food and Tobacco","First Watch Restaurants, Inc.",One stop,L + 7.50,8.75,12/2018,,1750,,1744,,0.2,,1750
55,"Beverage, Food and Tobacco",IT'SUGAR LLC,Senior loan,L + 7.50,9.00,04/2018,,7585,,7467,,1.0,,7585
56,"Beverage, Food and Tobacco",IT'SUGAR LLC,Subordinated debt,No Value,5.00,10/2017,,1707,,1707,,0.3,,2287
57,"Beverage, Food and Tobacco",Julio & Sons Company,One stop,L + 5.50,6.50,09/2016,,277,,270,,0,,277
58,"Beverage, Food and Tobacco",Julio & Sons Company*,One stop,L + 5.50,6.50,09/2016,,6996,,6947,,1.0,,6996
59,"Beverage, Food and Tobacco",Julio & Sons Company  (3),One stop,L + 5.50,(4),09/2016,,0,,(29,,0,,0
60,"Beverage, Food and Tobacco","Northern Brewer, LLC",One stop,P + 9.25,8.50 cash/4.00 PIK,02/2018,,670,,658,,0.1,,535
61,"Beverage, Food and Tobacco","Northern Brewer, LLC",One stop,P + 9.25,8.50 cash/4.00 PIK,02/2018,,6338,,6215,,0.7,,5071
62,"Beverage, Food and Tobacco","Richelieu Foods, Inc.",Senior loan,P + 4.50,7.75,11/2015,,127,,121,,0,,127
63,"Beverage, Food and Tobacco","Richelieu Foods, Inc.*",Senior loan,L + 5.50,7.25,11/2015,,1872,,1853,,0.3,,1872
64,Building and Real Estate,Building and Real Estate,Senior loan,,,,,,,,,,,
65,Building and Real Estate,"ITEL Laboratories, Inc.  (3)",Senior loan,L + 4.75,(4),06/2018,,0,,(1,,0,,0
66,Building and Real Estate,"ITEL Laboratories, Inc.*",Senior loan,L + 4.75,6.00,06/2018,,758,,750,,0.1,,758
67,Cargo Transport,Cargo Transport,Senior loan,,,,,,,,,,,
68,Cargo Transport,RP Crown Parent (RedPrairie Corp)*,Senior loan,L + 5.00,6.00,12/2018,,1975,,1945,,0.3,,1979
69,"Containers, Packaging and Glass","Containers, Packaging and Glass",Senior loan,,,,,,,,,,,
70,"Containers, Packaging and Glass",Fort Dearborn Company*,Senior loan,L + 4.25,5.25,10/2017,,26,,26,,0,,26
71,"Containers, Packaging and Glass",Fort Dearborn Company*^,Senior loan,L + 4.25,5.25,10/2017,,522,,520,,0.1,,522
72,"Containers, Packaging and Glass",Fort Dearborn Company*,Senior loan,L + 4.75,5.75,10/2018,,102,,101,,0,,102
73,"Containers, Packaging and Glass",Fort Dearborn Company*^,Senior loan,L + 4.75,5.75,10/2018,,2185,,2172,,0.3,,2185
74,"Containers, Packaging and Glass","Packaging Coordinators, Inc.*^",Senior loan,L + 4.25,5.50,05/2020,,6759,,6723,,0.9,,6759
75,"Containers, Packaging and Glass","Packaging Coordinators, Inc.",Second lien,L + 8.25,9.50,11/2020,,29098,,28330,,4.0,,29098
76,"Containers, Packaging and Glass","Packaging Coordinators, Inc.^",Senior loan,L + 4.25,5.50,05/2020,,9286,,9265,,1.3,,9286
77,Diversified Conglomerate Manufacturing,Diversified Conglomerate Manufacturing,Senior loan,,,,,,,,,,,
78,Diversified Conglomerate Manufacturing,"Chase Industries, Inc.*",One stop,L + 5.62,6.87,11/2017,,13249,,13097,,1.8,,13249
79,Diversified Conglomerate Manufacturing,ICCN Acquisition Corp.  (3),One stop,L + 5.25,(4),03/2019,,0,,(4,,0,,(3
80,Diversified Conglomerate Manufacturing,ICCN Acquisition Corp.^,One stop,L + 5.25,6.25,03/2019,,4008,,3942,,0.5,,3968
81,Diversified Conglomerate Manufacturing,ICCN Acquisition Corp.  (3),One stop,L + 5.25,(4),03/2019,,0,,(15,,0,,(11
82,Diversified Conglomerate Manufacturing,"Metal Spinners, Inc.*",Senior loan,L + 7.50,9.00,04/2015,,1309,,1298,,0.2,,1309
83,Diversified Conglomerate Manufacturing,"Metal Spinners, Inc.*",Senior loan,L + 7.50,9.00,04/2015,,2573,,2554,,0.4,,2573
84,Diversified Conglomerate Manufacturing,Onicon Incorporated  (3),One stop,L + 6.75,(4),12/2017,,0,,(11,,0,,0
85,Diversified Conglomerate Manufacturing,Onicon Incorporated,One stop,L + 4.50,5.50,12/2017,,3162,,3117,,0.4,,3162
86,Diversified Conglomerate Manufacturing,"Pasternack Enterprises, Inc.*",Senior loan,L + 5.00,6.25,12/2017,,1149,,1141,,0.2,,1149
87,Diversified Conglomerate Manufacturing,"Plex Systems, Inc.  (3)",Senior loan,L + 7.50,(4),06/2018,,0,,(26,,0,,0
88,Diversified Conglomerate Manufacturing,"Plex Systems, Inc.*^",Senior loan,L + 7.50,8.75,06/2018,,18797,,18404,,2.6,,18797
89,Diversified Conglomerate Manufacturing,"Sunless Merger Sub, Inc.",Senior loan,P + 4.00,7.25,07/2016,,77,,76,,0,,50
90,Diversified Conglomerate Manufacturing,"Sunless Merger Sub, Inc.*",Senior loan,L + 5.25,6.50,07/2016,,1847,,1843,,0.2,,1293
91,Diversified Conglomerate Manufacturing,"TIDI Products, LLC",One stop,L + 6.50,7.75,07/2017,,78,,66,,0,,78
92,Diversified Conglomerate Manufacturing,"TIDI Products, LLC*",One stop,L + 6.50,7.75,07/2018,,12662,,12459,,1.7,,12662
93,Diversified Conglomerate Manufacturing,"Vintage Parts, Inc.*",One stop,L + 4.50,5.75,12/2015,,4175,,4142,,0.6,,4175
94,Diversified Conglomerate Manufacturing,"Vintage Parts, Inc.*",One stop,L + 4.50,5.75,12/2015,,58,,58,,0,,58
95,Diversified Conglomerate Manufacturing,"Vintage Parts, Inc.*",One stop,L + 4.50,5.75,12/2015,,873,,877,,0.1,,873
96,Diversified Conglomerate Service,Diversified Conglomerate Service,One stop,,,,,,,,,,,
97,Diversified Conglomerate Service,"Aderant North America, Inc.*",Senior loan,L + 4.25,5.25,12/2018,,4220,,4188,,0.6,,4220
98,Diversified Conglomerate Service,Agility Recovery Solutions Inc.  (3),One stop,L + 6.75,(4),09/2018,,0,,(6,,0,,0
99,Diversified Conglomerate Service,Agility Recovery Solutions Inc.*,One stop,L + 6.75,8.00,09/2018,,8288,,8144,,1.1,,8288
100,Diversified Conglomerate Service,Bomgar Corporation  (3),One stop,L + 6.00,(4),05/2019,,0,,(19,,0,,(20
101,Diversified Conglomerate Service,Bomgar Corporation,One stop,L + 6.00,7.00,05/2020,,23539,,23091,,3.2,,23303
102,Diversified Conglomerate Service,"Daxko, LLC  (3)",One stop,L + 7.75,(4),03/2019,,0,,(25,,0,,(22
103,Diversified Conglomerate Service,"Daxko, LLC",One stop,L + 7.75,8.75,03/2019,,16840,,16548,,2.3,,16671
104,Diversified Conglomerate Service,"Document Technologies, LLC  (3)",Senior loan,L + 4.25,(4),12/2018,,0,,(10,,0,,0
105,Diversified Conglomerate Service,"Document Technologies, LLC*^",Senior loan,L + 4.25,5.50,12/2018,,6999,,6945,,1.0,,6999
106,Diversified Conglomerate Service,"EAG, INC. (Evans Analytical Group)*",Senior loan,L + 4.00,5.00,07/2017,,2435,,2409,,0.3,,2435
107,Diversified Conglomerate Service,HighJump Acquisition LLC,One stop,L + 7.50,16.23,07/2018,,7089,,7033,,1.0,,7089
108,Diversified Conglomerate Service,"Integration Appliance, Inc.",Senior loan,L + 8.25,9.50,09/2018,,719,,710,,0.1,,710
109,Diversified Conglomerate Service,"Integration Appliance, Inc.",Senior loan,L + 8.25,9.50,09/2018,,5396,,5281,,0.7,,5328
110,Diversified Conglomerate Service,"Integration Appliance, Inc.",Senior loan,L + 8.25,9.50,06/2019,,7914,,7717,,1.1,,7815
111,Diversified Conglomerate Service,"Marathon Data Operating Co., LLC  (3)",One stop,L + 6.25,(4),08/2017,,0,,(7,,0,,0
112,Diversified Conglomerate Service,"Marathon Data Operating Co., LLC",One stop,L + 6.25,7.50,08/2017,,4606,,4533,,0.6,,4606
113,Diversified Conglomerate Service,"Navex Global, Inc.  (3)",One stop,L + 5.50,(4),12/2016,,0,,(22,,0,,0
114,Diversified Conglomerate Service,"Navex Global, Inc.*",One stop,L + 5.50,6.50,12/2016,,19174,,18810,,2.6,,19174
115,Diversified Conglomerate Service,"NetSmart Technologies, Inc.*",One stop,L + 7.54,8.79,12/2017,,8121,,8061,,1.1,,8121
116,Diversified Conglomerate Service,"NetSmart Technologies, Inc.",One stop,L + 7.88,9.13,12/2017,,642,,632,,0.1,,642
117,Diversified Conglomerate Service,"PC Helps Support, LLC  (3)",Senior loan,L + 5.25,(4),09/2017,,0,,(2,,0,,0
118,Diversified Conglomerate Service,"PC Helps Support, LLC",Senior loan,L + 5.25,6.52,09/2017,,1795,,1778,,0.2,,1795
119,Diversified Conglomerate Service,"Secure-24, LLC  (3)",One stop,L + 6.50,(4),08/2017,,0,,(5,,0,,0
120,Diversified Conglomerate Service,"Secure-24, LLC*",One stop,L + 6.50,7.75,08/2017,,10460,,10260,,1.4,,10460
121,Diversified Conglomerate Service,"Secure-24, LLC^",One stop,L + 6.50,7.75,08/2017,,1530,,1509,,0.2,,1530
122,Diversified Conglomerate Service,"SoftWriters, Inc.  (3)",One stop,L + 5.00,(4),05/2019,,0,,(2,,0,,(2
123,Diversified Conglomerate Service,"SoftWriters, Inc.  (3)",One stop,L + 5.00,(4),05/2019,,0,,(3,,0,,(4
124,Diversified Conglomerate Service,"SoftWriters, Inc.",One stop,L + 5.00,6.00,05/2019,,6427,,6402,,0.9,,6401
125,Diversified Conglomerate Service,"Source Medical Solutions, Inc.",Second lien,L + 8.00,9.00,03/2018,,9294,,9136,,1.3,,9294
126,Diversified Conglomerate Service,"Vericlaim, Inc.  (3)",Senior loan,L + 4.75,(4),05/2018,,0,,(3,,0,,0
127,Diversified Conglomerate Service,"Vericlaim, Inc.^",Senior loan,L + 4.75,6.00,05/2018,,6311,,6283,,0.9,,6311
128,Diversified Conglomerate Service,"Vericlaim, Inc.*",Senior loan,L + 4.75,6.00,05/2018,,367,,363,,0.1,,367
129,Electronics,Electronics,Senior loan,,,,,,,,,,,
130,Electronics,"BeyondTrust Software, Inc.^",One stop,L + 7.62,8.88,12/2019,,11939,,11702,,1.6,,11939
131,Electronics,"ECI Acquisition Holdings, Inc.  (3)",One stop,L + 6.25,(4),03/2019,,0,,(18,,0,,(10
132,Electronics,"ECI Acquisition Holdings, Inc.^",One stop,L + 6.25,7.25,03/2019,,22270,,21878,,3.0,,22047
133,Electronics,"ECI Acquisition Holdings, Inc.  (3)",One stop,L + 6.25,(4),03/2019,,0,,(84,,0,,(48
134,Electronics,"Rogue Wave Holdings, Inc.*^",One stop,L + 8.06,9.06,12/2018,,10613,,10493,,1.5,,10613
135,Electronics,"Sloan Company, Inc., The",One stop,L + 7.50,8.75,10/2018,,267,,253,,0,,267
136,Electronics,"Sloan Company, Inc., The*^",One stop,L + 7.50,8.75,10/2018,,13110,,12969,,1.8,,13110
137,Electronics,"Sparta Systems, Inc.  (3)",Senior loan,L + 5.25,(4),12/2017,,0,,(6,,0,,0
138,Electronics,"Sparta Systems, Inc.*",Senior loan,L + 5.25,6.50,12/2017,,6327,,6272,,0.9,,6327
139,Electronics,Syncsort Incorporated  (3),Senior loan,L + 4.75,(4),03/2019,,0,,(3,,0,,(3
140,Electronics,Syncsort Incorporated  (3),Senior loan,L + 4.75,(4),03/2019,,0,,(13,,0,,(14
141,Electronics,Syncsort Incorporated*,Senior loan,L + 4.75,5.75,03/2019,,6158,,6101,,0.8,,6097
142,Electronics,"Systems Maintenance Services Holding,  Inc.^",Senior loan,L + 4.25,5.25,10/2019,,2657,,2645,,0.4,,2657
143,Electronics,"Taxware, LLC",Second lien,L + 8.50,9.50,10/2019,,11099,,10902,,1.5,,11099
144,Electronics,"Watchfire Enterprises, Inc.",Second lien,L + 8.00,9.00,10/2021,,9435,,9265,,1.3,,9435
145,Farming and Agriculture,Farming and Agriculture,Second lien,,,,,,,,,,,
146,Farming and Agriculture,"AGData, L.P.*^",One stop,L + 6.00,7.25,08/2016,,3691,,3663,,0.5,,3691
147,Finance,Finance,One stop,,,,,,,,,,,
148,Finance,"Ascensus, Inc.  (3)",One stop,L + 4.00,(4),11/2018,,0,,(17,,0,,0
149,Finance,"Ascensus, Inc.^",One stop,L + 4.00,5.00,12/2019,,4203,,4127,,0.6,,4203
150,Finance,"Ascensus, Inc.^",One stop,L + 8.00,9.00,12/2020,,6337,,6134,,0.9,,6337
151,Finance,Pillar Processing LLC*  (6),Senior loan,L + 5.50,5.72,11/2018,,702,,701,,0,,210
152,Finance,Pillar Processing LLC*  (6),Senior loan,No Value,14.50,05/2019,,2377,,2368,,0,,0
153,Grocery,Grocery,Senior loan,,,,,,,,,,,
154,Grocery,"MyWebGrocer, Inc.  (3)",Senior loan,L + 4.75,(4),05/2018,,0,,(12,,0,,0
155,Grocery,"MyWebGrocer, Inc.^",Senior loan,L + 8.75,6.00 cash/4.00 PIK,05/2018,,14271,,14079,,2.0,,14271
156,Grocery,"Teasdale Quality Foods, Inc.*",Senior loan,L + 4.50,5.75,05/2018,,2681,,2659,,0.4,,2681
157,"Healthcare, Education and Childcare","Healthcare, Education and Childcare",Senior loan,,,,,,,,,,,
158,"Healthcare, Education and Childcare","Advanced Pain Management Holdings, Inc.  (3)",Senior loan,L + 5.00,(4),02/2018,,0,,(8,,0,,0
159,"Healthcare, Education and Childcare","Advanced Pain Management Holdings, Inc.*",Senior loan,L + 5.00,6.25,02/2018,,7121,,7068,,1.0,,7121
160,"Healthcare, Education and Childcare","Advanced Pain Management Holdings, Inc.",Senior loan,L + 5.00,6.25,02/2018,,487,,481,,0.1,,487
161,"Healthcare, Education and Childcare","Avatar International, LLC  (3)",One stop,L + 4.94,(4),09/2016,,0,,(4,,0,,0
162,"Healthcare, Education and Childcare","Avatar International, LLC*",One stop,L + 7.89,6.19 cash/2.95 PIK,09/2016,,7589,,7532,,0.9,,6602
163,"Healthcare, Education and Childcare","Avatar International, LLC",One stop,L + 7.89,6.19 cash/2.95 PIK,09/2016,,1637,,1628,,0.2,,1424
164,"Healthcare, Education and Childcare",Certara L.P.  (3),One stop,L + 6.25,(4),12/2018,,0,,(20,,0,,(13
165,"Healthcare, Education and Childcare",Certara L.P.*^,One stop,L + 6.25,7.25,12/2018,,23006,,22765,,3.1,,22834
166,"Healthcare, Education and Childcare",Data Innovations LLC,One stop,L + 5.75,6.75,05/2019,,8823,,8631,,1.2,,8734
167,"Healthcare, Education and Childcare",Delta Educational Systems*,Senior loan,P + 4.75,8.00,12/2016,,1693,,1671,,0.2,,1693
168,"Healthcare, Education and Childcare",Delta Educational Systems  (3),Senior loan,L + 6.00,(4),12/2016,,0,,0,,0,,0
169,"Healthcare, Education and Childcare","Encore Rehabilitation Services, LLC  (3)",One stop,L + 6.00,(4),06/2017,,0,,(9,,0,,0
170,"Healthcare, Education and Childcare","Encore Rehabilitation Services,  LLC",One stop,L + 6.00,7.25,06/2017,,5001,,4920,,0.7,,5001
171,"Healthcare, Education and Childcare","G & H Wire Company, Inc.",Senior loan,P + 4.50,7.75,12/2017,,179,,172,,0,,179
172,"Healthcare, Education and Childcare","G & H Wire Company, Inc.*^",Senior loan,L + 5.75,6.75,12/2017,,12934,,12786,,1.8,,12934
173,"Healthcare, Education and Childcare","Global Healthcare Exchange, LLC  (3)",One stop,L + 9.00,(4),03/2020,,0,,(24,,0,,(25
174,"Healthcare, Education and Childcare","Global Healthcare Exchange, LLC",One stop,L + 9.00,10.00,03/2020,,20087,,19706,,2.7,,19886
175,"Healthcare, Education and Childcare",GSDM Holdings Corp.,Senior loan,L + 4.25,5.25,06/2019,,629,,626,,0.1,,626
176,"Healthcare, Education and Childcare","Healogics, Inc.*",Second lien,L + 8.00,9.25,02/2020,,16454,,16322,,2.3,,16454
177,"Healthcare, Education and Childcare","Hospitalists Management Group, LLC",Senior loan,L + 5.00,6.77,05/2017,,910,,902,,0.1,,819
178,"Healthcare, Education and Childcare","Hospitalists Management Group, LLC",Senior loan,L + 5.00,6.51,05/2017,,3694,,3643,,0.5,,3324
179,"Healthcare, Education and Childcare","Hospitalists Management Group, LLC",Senior loan,L + 5.00,6.50,05/2017,,430,,426,,0.1,,387
180,"Healthcare, Education and Childcare","IntegraMed America, Inc.  (3)",One stop,L + 7.25,(4),09/2017,,0,,(12,,0,,(6
181,"Healthcare, Education and Childcare","IntegraMed America, Inc.*^",One stop,L + 7.25,8.50,09/2017,,15626,,15398,,2.1,,15509
182,"Healthcare, Education and Childcare","Joerns Healthcare, LLC",One stop,L + 5.00,6.00,05/2020,,9819,,9722,,1.3,,9782
183,"Healthcare, Education and Childcare","Maverick Healthcare Group, LLC*",Senior loan,L + 5.50,7.25,12/2016,,1999,,1971,,0.3,,1899
184,"Healthcare, Education and Childcare","NeuroTherm, Inc.",Senior loan,P + 3.50,6.75,02/2016,,23,,18,,0,,23
185,"Healthcare, Education and Childcare","NeuroTherm, Inc.*^",Senior loan,L + 4.50,5.75,02/2016,,2183,,2162,,0.3,,2183
186,"Healthcare, Education and Childcare","Northwestern Management Services, LLC  (3)",Senior loan,L + 5.25,(4),10/2017,,0,,(10,,0,,0
187,"Healthcare, Education and Childcare","Northwestern Management Services, LLC*",Senior loan,L + 5.25,6.50,10/2017,,3976,,3921,,0.5,,3976
188,"Healthcare, Education and Childcare","Northwestern Management Services, LLC",Senior loan,L + 5.25,6.50,10/2017,,47,,43,,0,,47
189,"Healthcare, Education and Childcare",Onsite Holding Corp.  (3),One stop,L + 5.25,(4),06/2020,,0,,(44,,0,,(25
190,"Healthcare, Education and Childcare",Onsite Holding Corp.*^,One stop,L + 5.25,6.25,06/2020,,26921,,26686,,3.7,,26786
191,"Healthcare, Education and Childcare","Paradigm Management Services, LLC^",Senior loan,L + 4.50,5.51,01/2019,,1920,,1903,,0.3,,1920
192,"Healthcare, Education and Childcare","Pentec Acquisition Sub, Inc.  (3)",Senior loan,L + 5.25,(4),05/2017,,0,,(2,,0,,0
193,"Healthcare, Education and Childcare","Pentec Acquisition Sub, Inc.*",Senior loan,L + 5.25,6.50,05/2018,,1815,,1792,,0.2,,1815
194,"Healthcare, Education and Childcare","Precision Dermatology, Inc.  (3)",One stop,L + 6.00,(4),09/2018,,0,,(5,,0,,0
195,"Healthcare, Education and Childcare","Precision Dermatology, Inc.",One stop,L + 6.00,7.25,09/2018,,9991,,9907,,1.4,,10092
196,"Healthcare, Education and Childcare","Reliant Pro ReHab, LLC  (3)",Senior loan,L + 4.75,(4),06/2016,,0,,(7,,0,,0
197,"Healthcare, Education and Childcare","Reliant Pro ReHab, LLC*^",Senior loan,L + 5.00,6.00,06/2017,,7652,,7588,,1.1,,7652
198,"Healthcare, Education and Childcare",Renaissance Pharma (U.S.) Holdings Inc.,Senior loan,P + 3.00,6.25,05/2018,,97,,94,,0,,97
199,"Healthcare, Education and Childcare",Renaissance Pharma (U.S.) Holdings Inc.*^,Senior loan,L + 4.00,5.03,05/2018,,4259,,4203,,0.6,,4259
200,"Healthcare, Education and Childcare",Southern Anesthesia and Surgical  (3),One stop,L + 5.50,(4),11/2017,,0,,(11,,0,,0
201,"Healthcare, Education and Childcare",Southern Anesthesia and Surgical,One stop,L + 5.50,6.50,11/2017,,6027,,5911,,0.8,,6027
202,"Healthcare, Education and Childcare",Southern Anesthesia and Surgical  (3),One stop,L + 5.50,(4),11/2017,,0,,(43,,0,,0
203,"Healthcare, Education and Childcare","Surgical Information Systems, LLC^",Senior loan,L + 3.00,4.01,09/2018,,2062,,2057,,0.3,,2062
204,"Healthcare, Education and Childcare","WIL Research Company, Inc.*",Senior loan,L + 4.50,5.75,02/2018,,778,,771,,0.1,,759
205,"Healthcare, Education and Childcare","Young Innovations, Inc.  (3)",Senior loan,L + 4.25,(4),01/2018,,0,,(3,,0,,0
206,"Healthcare, Education and Childcare","Young Innovations, Inc.*^",Senior loan,L + 4.25,5.29,01/2019,,5457,,5423,,0.8,,5457
207,"Home and Office Furnishings,","Home and Office Furnishings,",Senior loan,,,,,,,,,,,
208,"Housewares, and Durable Consumer","Housewares, and Durable Consumer",Senior loan,,,,,,,,,,,
209,"Housewares, and Durable Consumer","Plano Molding Company, LLC^",Senior loan,L + 4.25,5.25,10/2018,,1997,,1984,,0.3,,1997
210,"Housewares, and Durable Consumer","WII Components, Inc.*",Senior loan,L + 4.75,6.25,07/2016,,1513,,1504,,0.2,,1513
211,"Housewares, and Durable Consumer","WII Components, Inc.",Senior loan,P + 3.75,7.00,07/2016,,10,,9,,0,,10
212,"Housewares, and Durable Consumer",Zenith Products Corporation,One stop,P + 1.75,5.00,09/2013,,29,,29,,0,,15
213,"Housewares, and Durable Consumer",Zenith Products Corporation*,One stop,P + 3.50,6.75,09/2013,,3684,,3684,,0.3,,1842
214,Insurance,Insurance,One stop,,,,,,,,,,,
215,Insurance,"Captive Resources Midco, LLC  (3)",One stop,L + 5.00,(4),01/2019,,0,,(16,,0,,0
216,Insurance,"Captive Resources Midco, LLC*^",One stop,L + 5.00,6.50,01/2019,,20047,,19859,,2.8,,20047
217,Insurance,"Evolution1, Inc.*",Senior loan,P + 3.75,7.00,06/2016,,4461,,4434,,0.6,,4461
218,Insurance,"Evolution1, Inc.",Senior loan,P + 3.75,7.00,06/2016,,56,,54,,0,,56
219,Investment Funds and Vehicles,Investment Funds and Vehicles,Senior loan,,,,,,,,,,,
