,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,Fair  Value
22,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",Revenue cycle management provider to the physician practices and acute care hospitals,"Senior preferred stock (121,810 shares)",11.31% PIK (Libor + 11.13%/M),2/11/2019,141.2,141.2
23,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (15)",Revenue cycle management provider to the physician practices and acute care hospitals,Class A interests (0.39% interest),0,2/11/2019,9.0,12.8
25,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($30.7 par due 7/2026),5.25% (Libor + 4.25%/Q),7/9/2019,30.7,30.4
26,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($17.0 par due 7/2026),5.25% (Libor + 4.25%/Q),9/10/2019,17.0,16.9
27,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($64.2 par due 7/2027),9.25% (Libor + 8.25%/Q),7/9/2019,64.2,63.5
28,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($5.3 par due 7/2027),9.25% (Libor + 8.25%/Q),7/9/2019,5.3,5.2
29,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($12.7 par due 7/2027),9.25% (Libor + 8.25%/Q),9/10/2019,12.7,12.6
30,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (15)",Provider of central institutional review boards over clinical trials,"Class B common units (4,211 units)",0,7/9/2019,4.2,6.2
33,"CCS-CMGC Holdings, Inc. (15)",Correctional facility healthcare operator,First lien senior secured revolving loan,0,10/1/2018,0.0,0.0
34,"CCS-CMGC Holdings, Inc. (15)",Correctional facility healthcare operator,First lien senior secured loan ($34.5 par due 10/2025),6.45% (Libor + 5.50%/Q),9/25/2018,34.2,32.1
36,"Center for Autism and Related Disorders, LLC (15)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan ($7.8 par due 11/2023),4.89% (Libor + 4.50%/Q),11/21/2018,7.8,7.2
37,"Comprehensive EyeCare Partners, LLC (15)",Vision care practice management company,First lien senior secured revolving loan ($1.8 par due 2/2024),6.00% (Libor + 4.75%/Q),2/14/2018,1.8,1.6
38,"Comprehensive EyeCare Partners, LLC (15)",Vision care practice management company,First lien senior secured loan ($5.3 par due 2/2024),5.75% (Libor + 4.50%/Q),2/14/2018,5.3,5.0
39,"Comprehensive EyeCare Partners, LLC (15)",Vision care practice management company,First lien senior secured loan ($1.0 par due 2/2024),7.00% (Base Rate + 3.75%/Q),2/14/2018,1.0,1.0
40,"Comprehensive EyeCare Partners, LLC (15)",Vision care practice management company,First lien senior secured loan ($2.4 par due 2/2024),6.00% (Libor + 4.75%/Q),2/14/2018,2.4,2.2
42,"Convey Health Solutions, Inc.",Healthcare workforce management software provider,First lien senior secured loan ($3.2 par due 9/2026),7.01% (Libor + 5.25%/Q),9/4/2019,3.2,3.1
43,"Convey Health Solutions, Inc.",Healthcare workforce management software provider,First lien senior secured loan ($2.4 par due 9/2026),10.35% (Libor + 9.00%/Q),4/8/2020,2.4,2.4
45,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (15)",Veterinary hospital operator,First lien senior secured revolving loan ($0.7 par due 10/2024),7.25% (Libor + 6.25%/Q),10/31/2019,0.7,0.7
46,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (15)",Veterinary hospital operator,First lien senior secured loan ($58.0 par due 10/2025),7.34% (Libor + 5.75%/Q),10/31/2019,58.0,54.5
47,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (15)",Veterinary hospital operator,First lien senior secured loan ($14.1 par due 10/2025),7.84% (Libor + 6.25%/Q),10/31/2019,14.1,13.2
48,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (15)",Veterinary hospital operator,"Common stock (31,005 shares)",0,10/31/2019,9.6,9.2
50,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (15)",Dental services provider,"Class A preferred units (1,000,000 units)",0,12/21/2016,1.0,0.0
51,DCA Investment Holding LLC (15),Multi-branded dental practice management,First lien senior secured revolving loan ($5.7 par due 7/2021),6.25% (Libor + 5.25%/Q),7/2/2015,5.7,5.2
52,DCA Investment Holding LLC (15),Multi-branded dental practice management,First lien senior secured loan ($18.2 par due 7/2021),6.32% (Libor + 5.25%/Q),7/2/2015,18.2,16.8
54,"Emerus Holdings, Inc.",Freestanding 24-hour emergency care micro-hospitals operator,First lien senior secured loan ($16.7 par due 2/2022),"10.00% Cash, 4.00% PIK",2/21/2019,16.7,16.7
55,"Evolent Health LLC and Evolent Health, Inc. (15)",Medical technology company focused on value based care services and payment solutions,First lien senior secured loan ($67.1 par due 12/2024),9.00% (Libor + 8.00%/Q),12/30/2019,61.2,62.4
56,"Evolent Health LLC and Evolent Health, Inc. (15)",Medical technology company focused on value based care services and payment solutions,"Warrant to purchase up to 1,354,968 shares of common stock (expires 1/2025)",0,12/30/2019,5.9,5.6
58,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($34.5 par due 6/2025),9.00% (Libor + 8.00%/Q),6/30/2017,34.2,34.2
59,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($55.0 par due 6/2025),9.00% (Libor + 8.00%/Q),1/13/2020,55.0,54.5
60,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,"Series A preferred stock (110,425 shares)",12.18% PIK (Libor + 10.75%/Q),6/30/2017,162.1,160.4
61,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,"Class A units (14,013,303 units)",0,6/30/2017,14.0,16.6
64,"HealthEdge Software, Inc. (15)","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured loan ($3.7 par due 4/2026),7.25% (Libor + 6.25%/Q),4/9/2020,3.7,3.6
65,Hygiena Borrower LLC (15),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($2.5 par due 8/2023),8.75% (Libor + 7.75%/Q),8/26/2016,2.5,2.4
66,Hygiena Borrower LLC (15),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($10.7 par due 8/2023),8.75% (Libor + 7.75%/Q),2/27/2017,10.7,10.3
67,Hygiena Borrower LLC (15),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($11.1 par due 8/2023),8.75% (Libor + 7.75%/Q),6/29/2018,11.1,10.8
68,Hygiena Borrower LLC (15),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($0.6 par due 8/2023),8.75% (Libor + 7.75%/Q),6/29/2018,0.6,0.6
70,"JDC Healthcare Management, LLC (15)",Dental services provider,First lien senior secured revolving loan ($4.0 par due 4/2022),0,4/10/2017,4.0,3.1
71,"JDC Healthcare Management, LLC (15)",Dental services provider,First lien senior secured loan ($29.6 par due 4/2023),0,4/10/2017,28.8,22.5
72,"JDC Healthcare Management, LLC (15)",Dental services provider,First lien senior secured loan ($4.2 par due 4/2023),0,4/10/2017,4.1,3.2
74,"KBHS Acquisition, LLC (d/b/a Alita Care, LLC) (15)",Provider of behavioral health services,First lien senior secured revolving loan ($2.1 par due 3/2022),"6.00% (Libor + 4.00% Cash, 1.00% PIK/M)",3/17/2017,2.1,2.0
75,Key Surgical LLC (15),"Provider of sterile processing, operating room and instrument care supplies for hospitals",First lien senior secured loan ($16.4 par due 6/2023),6.00% (EURIBOR + 5.00%/Q),6/1/2017,16.4,15.9
76,Key Surgical LLC (15),"Provider of sterile processing, operating room and instrument care supplies for hospitals",First lien senior secured loan ($5.5 par due 6/2023),6.00% (Libor + 5.00%/Q),8/28/2019,5.4,5.3
78,LivaNova USA Inc.,Medical device company focused on treating cardiovascular and neurological diseases,First lien senior secured loan ($42.5 par due 6/2025),7.50% (Libor + 6.50%/Q),6/10/2020,42.5,41.2
79,"MB2 Dental Solutions, LLC (15)",Dental services provider,First lien senior secured revolving loan ($4.6 par due 9/2023),5.82% (Libor + 4.75%/Q),9/29/2017,4.6,4.3
80,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,First lien senior secured loan ($0.8 par due 7/2020),7.75% (Base Rate + 4.50%/Q),7/26/2017,0.8,0.8
81,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,First lien senior secured loan ($114.4 par due 7/2020),7.00% (Libor + 5.50%/Q),7/26/2017,114.4,114.4
82,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,"Class A units (1,438,643 shares)",0,1/17/2014,1.5,1.2
84,"Minerva Surgical, Inc. (15)",Medical device company focused on women's health,First lien senior secured loan ($30.5 par due 12/2022),"11.50% (Libor + 3.50% Cash, 6.00% PIK/Q)",12/30/2019,29.5,29.9
85,MW Dental Holding Corp. (15),Dental services provider,First lien senior secured revolving loan ($10.5 par due 4/2021),8.25% (Libor + 6.75%/Q),4/12/2011,10.5,9.6
86,MW Dental Holding Corp. (15),Dental services provider,First lien senior secured loan ($153.3 par due 4/2021),8.25% (Libor + 6.75%/Q),4/12/2011,151.8,141.0
88,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,Second lien senior secured loan ($72.8 par due 10/2023),12.00% PIK (Libor + 11.00%/Q),4/19/2016,72.8,64.1
89,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,"Senior preferred units (5,320 units)",8.00% PIK,6/29/2020,0.3,0.3
90,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,"Preferred units (1,842 units)",15.00% PIK,6/29/2020,0.1,0.1
91,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,"Class A units (25,277 units)",0,4/19/2016,2.5,0.4
93,NMN Holdings III Corp. and NMN Holdings LP (15),Provider of complex rehabilitation technology solutions for patients with mobility loss,First lien senior secured revolving loan,0,11/13/2018,0.0,0.0
95,NMN Holdings III Corp. and NMN Holdings LP (15),Provider of complex rehabilitation technology solutions for patients with mobility loss,"Partnership units (30,000 units)",0,11/13/2018,3.0,3.6
97,"NueHealth Performance, LLC (15)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($11.1 par due 9/2023),8.25% (Libor + 7.25%/Q),9/27/2018,11.1,10.8
98,"NueHealth Performance, LLC (15)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($1.5 par due 9/2023),8.25% (Libor + 7.25%/Q),9/27/2018,1.5,1.4
100,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (15)",Behavioral health and special education platform provider,First lien senior secured revolving loan ($10.1 par due 9/2024),6.50% (Libor + 5.50%/Q),9/24/2019,10.1,9.6
101,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (15)",Behavioral health and special education platform provider,First lien senior secured loan ($42.8 par due 9/2026),6.50% (Libor + 5.50%/Q),9/24/2019,42.8,40.6
102,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (15)",Behavioral health and special education platform provider,"Class A common units (9,549,000 units)",0,9/24/2019,9.5,7.8
104,"OMH-HealthEdge Holdings, LLC",Revenue cycle management software provider for healthcare companies,First lien senior secured loan ($26.5 par due 10/2025),6.57% (Libor + 5.50%/Q),10/24/2019,26.5,26.2
105,"OSYS Holdings, LLC",Provider of technology-enabled solutions to pharmacies,Limited liability company membership interest (1.57%),0,11/21/2013,1.0,0.6
106,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (15),Veterinary hospital operator,Second lien senior secured loan ($76.3 par due 3/2028),8.75% (Libor + 7.75%/Q),3/31/2020,76.3,74.8
107,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (15),Veterinary hospital operator,"Class R common units (6,004,768 units)",0,3/31/2020,6.0,6.8
109,"Performance Health Supply, Inc.",Distributor of rehabilitation supplies and equipment,Second lien senior secured loan ($79.7 par due 8/2023),11.50% PIK (Libor + 10.50%/S),9/2/2015,78.8,63.7
110,"PetVet Care Centers, LLC",Veterinary hospital operator,First lien senior secured loan ($26.2 par due 2/2025),5.25% (Libor + 4.25%/Q),10/31/2019,25.7,25.6
111,PhyMED Management LLC,Provider of anesthesia services,Second lien senior secured loan ($47.2 par due 5/2021),9.83% (Libor + 8.75%/Q),12/18/2015,47.1,39.2
112,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (15),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured revolving loan ($21.0 par due 7/2023),3.64% (Libor + 3.25%/Q),7/10/2018,21.0,20.2
113,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (15),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured loan ($10.8 par due 7/2025),3.81% (Libor + 3.50%/Q),7/10/2018,10.8,10.4
114,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (15),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,Second lien senior secured loan ($67.1 par due 7/2026),7.83% (Libor + 7.50%/Q),7/10/2018,66.6,65.1
115,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (15),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,"Class A units (9,775 units)",0,7/10/2018,9.8,11.4
117,"ProVation Medical, Inc.",Provider of documentation and coding software for GI physicians,First lien senior secured loan ($12.8 par due 3/2024),7.18% (Libor + 7.00%/Q),3/9/2018,12.7,12.7
118,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",0,6/28/2012,0.0,0.0
119,"RTI Surgical, Inc. (15)","Manufacturer of biologic, metal and synthetic implants/devices",Second lien senior secured loan ($97.3 par due 12/2023),"9.75% (Libor + 4.375% Cash, 4.375% PIK/Q)",3/8/2019,97.3,102.2
120,"RTI Surgical, Inc. (15)","Manufacturer of biologic, metal and synthetic implants/devices",Second lien senior secured loan ($26.3 par due 4/2021),15.00% PIK (Libor + 13.50%/Q),4/27/2020,26.3,26.3
122,"SCSG EA Acquisition Company, Inc. (15)",Provider of outsourced clinical services to hospitals and health systems,First lien senior secured revolving loan ($0.9 par due 9/2022),5.00% (Libor + 4.00%/Q),9/1/2017,0.9,0.8
123,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (15)",Outsourced anesthesia provider,First lien senior secured revolving loan ($7.1 par due 3/2024),6.19% (Libor + 4.75%/Q),3/26/2018,7.1,6.4
124,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (15)",Outsourced anesthesia provider,First lien senior secured loan ($16.6 par due 3/2024),5.75% (Libor + 4.75%/Q),3/26/2018,16.6,14.9
126,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (15)",Outsourced anesthesia provider,"Common units (684,854 units)",0,3/26/2018,4.8,0.7
128,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (15)",Breast cancer screening provider,First lien senior secured revolving loan ($5.5 par due 8/2024),5.81% (Libor + 5.50%/Q),8/1/2018,5.5,5.1
129,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (15)",Breast cancer screening provider,First lien senior secured loan ($7.0 par due 8/2024),5.81% (Libor + 5.50%/Q),8/1/2018,7.0,6.6
130,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (15)",Breast cancer screening provider,"Series A preferred stock (44,975 shares)",10.56% PIK (Libor + 10.25%/Q),8/1/2018,57.1,57.1
131,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (15)",Breast cancer screening provider,"Series A units (7,475 units)",0,8/1/2018,7.5,0.1
132,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (15)",Breast cancer screening provider,"Series B units (747,500 units)",0,8/1/2018,0.0,5.3
134,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (15)",Franchisor of private-pay home care for the elderly,First lien senior secured loan ($15.7 par due 4/2024),6.75% (Libor + 5.75%/Q),4/2/2018,15.7,15.7
135,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (15)",Franchisor of private-pay home care for the elderly,Common units (550 units),0,4/2/2018,0.6,0.8
137,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($55.1 par due 6/2024),0,12/13/2018,52.3,43.0
138,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($31.9 par due 6/2024),0,12/13/2018,30.4,24.9
139,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products","Warrant to purchase up to 4,904,916 shares of common stock (expires 4/2025)",0,4/6/2020,0.0,0.0
141,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P. (15)","Manufacturer of consumable products in the dental, medical, cosmetic and CPG/industrial end-markets",First lien senior secured loan ($25.3 par due 11/2025),5.82% (Libor + 4.75%/Q),11/15/2018,25.3,24.6
142,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P. (15)","Manufacturer of consumable products in the dental, medical, cosmetic and CPG/industrial end-markets","Class A preferred units (2,149 units)",8.00% PIK,11/15/2018,2.4,2.4
144,"U.S. Acute Care Solutions, LLC (15)",Provider of physician management services,First lien senior secured revolving loan ($0.9 par due 11/2020),6.13% (Libor + 5.00%/Q),2/8/2018,0.9,0.9
145,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,Second lien senior secured loan ($71.8 par due 6/2025),8.25% (Libor + 7.25%/M),6/16/2017,71.1,68.2
146,"United Digestive MSO Parent, LLC (15)",Gastroenterology physician group,First lien senior secured revolving loan ($8.4 par due 12/2023),5.00% (Libor + 4.00%/Q),12/14/2018,8.4,8.4
147,"United Digestive MSO Parent, LLC (15)",Gastroenterology physician group,First lien senior secured loan ($1.1 par due 12/2024),5.00% (Libor + 4.00%/Q),12/14/2018,1.1,1.1
148,"United Digestive MSO Parent, LLC (15)",Gastroenterology physician group,First lien senior secured loan ($2.4 par due 12/2024),5.00% (Libor + 4.00%/Q),12/14/2018,2.4,2.4
150,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",Operator of urgent care clinics,"Preferred units (7,696,613 units)",0,6/11/2015,7.7,0.0
151,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",Operator of urgent care clinics,"Series A common units (2,000,000 units)",0,6/11/2015,2.0,0.0
152,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",Operator of urgent care clinics,"Series C common units (5,288,427 units)",0,6/11/2015,0.0,0.0
154,"Urology Management Associates, LLC and JWC/UMA Holdings, L.P.",Urology private practice,First lien senior secured loan ($9.7 par due 8/2024),6.00% (Libor + 5.00%/Q),8/31/2018,9.6,9.4
155,"Urology Management Associates, LLC and JWC/UMA Holdings, L.P.",Urology private practice,Limited partnership interests (3.64% interest),0,8/31/2018,4.8,4.6
157,WSHP FC Acquisition LLC (15),Provider of biospecimen products for pharma research,First lien senior secured revolving loan ($1.9 par due 3/2024),7.25% (Libor + 6.25%/Q),3/30/2018,1.9,1.9
159,WSHP FC Acquisition LLC (15),Provider of biospecimen products for pharma research,First lien senior secured loan ($28.0 par due 3/2024),7.25% (Libor + 6.25%/Q),3/30/2018,28.0,28.0
160,WSHP FC Acquisition LLC (15),Provider of biospecimen products for pharma research,First lien senior secured loan ($5.9 par due 3/2024),7.25% (Libor + 6.25%/Q),3/30/2018,5.9,5.9
161,WSHP FC Acquisition LLC (15),Provider of biospecimen products for pharma research,First lien senior secured loan ($4.6 par due 3/2024),7.25% (Libor + 6.25%/Q),2/11/2019,4.6,4.6
162,WSHP FC Acquisition LLC (15),Provider of biospecimen products for pharma research,First lien senior secured loan ($8.7 par due 3/2024),7.25% (Libor + 6.25%/Q),8/30/2019,8.7,8.7
163,WSHP FC Acquisition LLC (15),Provider of biospecimen products for pharma research,First lien senior secured loan ($11.0 par due 3/2024),7.25% (Libor + 6.25%/Q),10/31/2019,11.0,11.0
167,"AffiniPay Midco, LLC and AffiniPay Intermediate Holdings, LLC (15)",Payment processing solution provider,First lien senior secured revolving loan ($1.8 par due 3/2026),6.75% (Libor + 5.50%/Q),2/28/2020,1.8,1.7
168,"AffiniPay Midco, LLC and AffiniPay Intermediate Holdings, LLC (15)",Payment processing solution provider,First lien senior secured loan ($64.8 par due 3/2026),6.75% (Libor + 5.50%/Q),2/28/2020,64.8,62.9
169,"AffiniPay Midco, LLC and AffiniPay Intermediate Holdings, LLC (15)",Payment processing solution provider,Senior subordinated loan ($22.7 par due 2/2028),12.75% PIK,2/28/2020,22.7,21.8
171,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (15)",Provider of intellectual property management lifecycle software,First lien senior secured loan ($4.7 par due 4/2026),5.50% (Euribor + 5.50%/Q),4/10/2019,4.7,4.6
172,"Anaqua Parent Holdings, Inc. & Astorg VII Co-Invest Anaqua (15)",Provider of intellectual property management lifecycle software,"Limited partnership units (4,400,000 units)",0,6/13/2019,5.0,6.9
174,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(15)",Aircraft performance software provider,First lien senior secured loan ($12.9 par due 1/2025),6.75% (Libor + 5.25%/Q),1/3/2020,12.9,12.6
175,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(15)",Aircraft performance software provider,First lien senior secured loan ($0.8 par due 1/2025),6.75% (Libor + 5.25%/Q),1/3/2020,0.8,0.8
176,"APG Intermediate Holdings Corporation and APG Holdings, LLC (4)(15)",Aircraft performance software provider,"Class A membership units (9,750,000 units)",0,1/3/2020,9.8,10.8
178,"Apptio, Inc. (15)",Provider of cloud-based technology business management solutions,First lien senior secured loan ($62.2 par due 1/2025),8.25% (Libor + 7.25%/Q),1/10/2019,62.2,60.9
179,"Avetta, LLC (15)",Supply chain risk management SaaS platform for global enterprise clients,First lien senior secured loan ($2.1 par due 4/2024),6.75% (Libor + 5.75%/Q),4/10/2018,2.1,2.0
180,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (15)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,First lien senior secured revolving loan ($2.3 par due 8/2023),8.50% (Libor + 6.75%/Q),8/20/2018,2.3,2.3
181,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (15)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,First lien senior secured loan ($40.8 par due 8/2023),8.50% (Libor + 6.75%/Q),8/20/2018,40.8,40.4
182,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (15)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,"Series A preferred stock (150,000 shares)",0,9/26/2018,1.5,1.9
184,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",0,7/23/2014,0.0,0.0
185,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (15)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($6.4 par due 7/2026),7.21% (Libor + 5.75%/Q),7/2/2019,6.4,6.3
186,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (15)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($4.5 par due 7/2026),7.21% (Libor + 5.75%/Q),10/15/2019,4.5,4.4
187,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (15)","Provider of environmental, health and safety software to track compliance data",Preferred equity (198 shares),9.00% PIK,7/2/2019,0.2,0.2
188,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (15)","Provider of environmental, health and safety software to track compliance data","Common equity (190,143 shares)",0,7/2/2019,0.0,0.2
190,Datix Bidco Limited,Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($0.1 par due 4/2025),5.36% (Libor + 4.50%/Q),10/7/2019,0.0,0.0
192,"Directworks, Inc. and Co-Exprise Holdings, Inc.",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,First lien senior secured loan ($1.8 par due 4/2018),0,12/19/2014,1.3,0.0
