,Industry,Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
51,PrimeFlight,"PrimeFlight Aviation Services, Inc.",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",05/09/24,13367,13184,12790,(9),
52,PrimeFlight,"PrimeFlight Aviation Services, Inc.",First Lien Secured Debt,"7.02 (1M L+550, 1.00 Floor)",05/09/24,1375,1362,1316,(9),
53,PrimeFlight,"PrimeFlight Aviation Services, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,05/09/24,2842,(85),(122),(8)(9)(21)(23),
58,Bolthouse Farms,"Wm. Bolthouse Farms, Inc.",Common Equity/Interests - Common Stock,N/A,N/A,"1,000,000 Shares",1000,940,(13),
60,Eagle Foods,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"8.68 (6M L+675, 1.00 Floor)",06/14/24,24562,24369,23703,(9),
61,Eagle Foods,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"7.75 (1M L+675, 1.00 Floor)",06/14/23,167,167,161,(9)(23),
62,Eagle Foods,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"7.75 (3M L+675, 1.00 Floor)",06/14/23,333,333,322,(9)(23),
63,Eagle Foods,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"7.95 (3M L+675, 1.00 Floor)",06/14/23,167,167,161,(9)(23),
64,Eagle Foods,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"8.36 (6M L+675, 1.00 Floor)",06/14/23,667,667,643,(9)(23),
65,Eagle Foods,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/14/23,2417,(27),(85),(8)(9)(21)(23),
68,"Florida Food Products, Inc.","Florida Food Products, Inc.",First Lien Secured Debt,"8.20 (3M L+675, 1.00 Floor)",09/08/25,22938,22492,22594,(9),
69,"Florida Food Products, Inc.","Florida Food Products, LLC",First Lien Secured Debt - Revolver,"7.75 (1M L+675, 1.00 Floor)",09/06/23,240,240,236,(9)(23),
70,"Florida Food Products, Inc.","Florida Food Products, LLC",First Lien Secured Debt - Revolver,"8.20 (3M L+675, 1.00 Floor)",09/06/23,1473,1443,1450,(9)(23),
73,"Orgain, Inc.","Butterfly Fighter Co-Invest, L.P.",Common Equity/Interests - Membership Interests,N/A,N/A,"1,000,000 Shares",1000,1000,(13),
75,TNT Crust LLC,TNT Crust LLC,First Lien Secured Debt,"7.75 (1M L+675, 1.00 Floor)",11/06/23,20618,20318,20102,(9),
76,TNT Crust LLC,TNT Crust LLC,First Lien Secured Debt,"8.01 (1M L+675, 1.00 Floor)",11/06/23,4878,4785,4756,(9),
77,TNT Crust LLC,TNT Crust LLC,First Lien Secured Debt - Revolver,"7.75 (1M L+675, 1.00 Floor)",11/06/23,748,748,729,(9)(23),
78,TNT Crust LLC,TNT Crust LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/06/23,2504,(50),(63),(8)(9)(21)(23),
79,TNT Crust LLC,TNT Crust LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,11/06/23,976,(43),(24),(8)(9)(21)(23),
80,TNT Crust LLC,TNT Crust LLC,Common Equity/Interests - Series A Units,N/A,N/A,244 Shares,30,275,(9)(13),
83,Turkey Hill,IC Holdings LLC,Common Equity/Interests - Series A Units,N/A,N/A,169 Shares,169,153,(9)(13),
84,Turkey Hill,THLP CO. LLC,First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",05/30/25,19562,19225,19268,(9),
85,Turkey Hill,THLP CO. LLC,First Lien Secured Debt - Revolver,7.75 (P+450),05/31/24,2247,2247,2213,(9)(23),
86,Turkey Hill,THLP CO. LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/31/24,2247,(75),(34),(8)(9)(21)(23),
87,Turkey Hill,THLP CO. LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,05/30/25,5618,(33),(84),(8)(9)(21)(23),
92,Access Information,"Access CIG, LLC",Second Lien Secured Debt,9.53 (3M L+775),02/27/26,15900,15789,15299,,
94,Ambrosia Buyer Corp.,Ambrosia Buyer Corp.,Second Lien Secured Debt,"9.08 (3M L+800, 1.00 Floor)",08/28/25,21429,21066,17751,,
96,Claritas,"Claritas, LLC",First Lien Secured Debt,"7.45 (3M L+600, 1.00 Floor)",12/21/23,3845,3815,3787,(9),
97,Claritas,"Claritas, LLC",First Lien Secured Debt - Revolver,"7.00 (1M L+600, 1.00 Floor)",12/21/23,619,619,609,(9)(23),
98,Claritas,"Claritas, LLC",First Lien Secured Debt - Revolver,"7.26 (1M L+600, 1.00 Floor)",12/21/23,129,129,127,(9)(23),
99,Claritas,"Claritas, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/21/23,284,(8),(4),(8)(9)(21)(23),
102,Continuum,"Continuum Global Solutions, LLC",First Lien Secured Debt - Revolver,"7.08 (1M L+550, 1.00 Floor)",02/15/22,8791,8791,8527,(9)(23),
103,Continuum,"Continuum Global Solutions, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/15/22,11209,(304),(336),(8)(9)(21)(23),
104,Continuum,"Continuum Global Solutions, LLC",Preferred Equity - Preferred Stock,N/A,N/A,775 Shares,78,78,(9)(13),
107,"CT Technologies Intermediate Holdings, Inc","CT Technologies Intermediate Holdings, Inc",Second Lien Secured Debt,"10.45 (3M L+900, 1.00 Floor)",12/01/22,31253,30803,27815,(9),
109,Education Personnel,Education Personnel,First Lien Secured Debt,"5.42 (3M GBPL+475, 0.50 Floor)",08/31/24,4076,5190,4790,(9)(17),
110,Education Personnel,Education Personnel,First Lien Secured Debt - Revolver,"5.42 (3M GBPL+475, 0.50 Floor)",08/31/24,1471,1873,1727,(9)(17)(23),
113,Electro Rent Corporation,Electro Rent Corporation,Second Lien Secured Debt,"10.64 (3M L+900, 1.00 Floor)",01/31/25,34235,33546,33208,(9),
115,Elo Touch,TGG TS Acquisition Company,First Lien Secured Debt - Revolver,7.40 (3M L+650),12/14/23,500,500,480,(23),
116,Elo Touch,TGG TS Acquisition Company,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/14/23,1250,0,(50),(8)(21)(23),
119,Ensemble Health,"EHL Merger Sub, LLC",First Lien Secured Debt - Revolver,6.00 (P+275),08/01/24,1662,1662,1512,(23),
120,Ensemble Health,"EHL Merger Sub, LLC",First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,08/01/24,2493,(330),(224),(8)(21)(23),
123,Jacent,Jacent Strategic Merchandising,First Lien Secured Debt,"7.36 (3M L+575, 1.00 Floor)",04/23/24,22579,22304,21315,(9),
124,Jacent,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"7.36 (3M L+575, 1.00 Floor)",04/23/24,1400,1400,1320,(9)(23),
125,Jacent,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"6.82 (3M L+575, 1.00 Floor)",04/23/24,467,467,440,(9)(23),
126,Jacent,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"7.53 (3M L+575, 1.00 Floor)",04/23/24,700,700,660,(9)(23),
127,Jacent,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",04/23/24,933,891,880,(9)(23),
128,Jacent,Jacent Strategic Merchandising,Common Equity - Common Stock,N/A,N/A,"5,000 Shares",500,204,(9)(13),
131,Jones & Frank,"JF Acquisition, LLC",First Lien Secured Debt,"6.77 (3M L+550, 1.00 Floor)",07/31/24,5272,5179,5087,(9),
132,Jones & Frank,"JF Acquisition, LLC",First Lien Secured Debt,"7.28 (3M L+550, 1.00 Floor)",07/31/24,8118,7977,7832,(9),
133,Jones & Frank,"JF Acquisition, LLC",First Lien Secured Debt - Revolver,"6.50 (1M L+550, 1.00 Floor)",07/31/24,628,600,605,(9)(23),
134,Jones & Frank,"JF Acquisition, LLC",First Lien Secured Debt - Revolver,"7.28 (3M L+550, 1.00 Floor)",07/31/24,188,188,182,(9)(23),
135,Jones & Frank,"JF Acquisition, LLC",First Lien Secured Debt - Revolver,7.75 (P+450),07/31/24,753,753,726,(9)(23),
138,MAKS,Trident Bidco Limited,First Lien Secured Debt,"7.25 (1M L+625, 1.00 Floor)",11/08/25,35000,34019,33649,(9)(17),
140,McLarens,Margaux Acquisition Inc.,First Lien Secured Debt,"7.41 (3M L+550, 1.00 Floor)",12/19/24,18800,18526,17800,(9),
141,McLarens,Margaux Acquisition Inc.,First Lien Secured Debt - Revolver,"6.50 (1M L+550, 1.00 Floor)",12/19/24,1601,1576,1516,(9)(23),
142,McLarens,Margaux Acquisition Inc.,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/19/24,4461,(92),(236),(8)(9)(21)(23),
143,McLarens,Margaux UK Finance Limited,First Lien Secured Debt,"6.50 (3M GBPL+550, 1.00 Floor)",12/19/24,5896,7332,6930,(9)(17),
144,McLarens,Margaux UK Finance Limited,First Lien Secured Debt - Revolver,"6.50 (1M GBPL+550, 1.00 Floor)",12/19/24,538,632,631,(9)(17)(23),
145,McLarens,Margaux UK Finance Limited,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/19/24,4,(11),0,(8)(9)(17)(21)(23),
146,McLarens,Margaux UK Finance Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/19/24,1353,(27),(89),(8)(9)(17)(21)(23),
149,"Ministry Brands, LLC","Ministry Brands, LLC",Second Lien Secured Debt,"10.51 (2M L+925, 1.00 Floor)",06/02/23,10000,9925,9795,,
151,"Newscycle Solutions, Inc.","Newscycle Solutions, Inc.",First Lien Secured Debt,"8.45 (3M L+700, 1.00 Floor)",12/29/22,14641,14434,14202,(9),
152,"Newscycle Solutions, Inc.","Newscycle Solutions, Inc.",First Lien Secured Debt,"8.58 (3M L+700, 1.00 Floor)",12/29/22,1131,1121,1097,(9),
153,"Newscycle Solutions, Inc.","Newscycle Solutions, Inc.",First Lien Secured Debt - Revolver,"8.00 (1M L+700, 1.00 Floor)",12/29/22,40,33,39,(9)(23),
154,"Newscycle Solutions, Inc.","Newscycle Solutions, Inc.",First Lien Secured Debt - Revolver,"8.45 (1M L+700, 1.00 Floor)",12/29/22,460,460,446,(9)(23),
157,"PSI Services, LLC","Lifelong Learner Holdings, LLC",First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",10/19/26,32865,32234,31334,(9),
158,"PSI Services, LLC","Lifelong Learner Holdings, LLC",First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",10/20/25,478,478,457,(9)(23),
159,"PSI Services, LLC","Lifelong Learner Holdings, LLC",First Lien Secured Debt - Revolver,"6.87 (3M L+575, 1.00 Floor)",10/20/25,1373,1373,1315,(9)(23),
160,"PSI Services, LLC","Lifelong Learner Holdings, LLC",First Lien Secured Debt - Revolver,"7.33 (3M L+575, 1.00 Floor)",10/20/25,239,239,229,(9)(23),
161,"PSI Services, LLC","Lifelong Learner Holdings, LLC",First Lien Secured Debt - Revolver,"7.71 (3M L+575, 1.00 Floor)",10/20/25,299,299,286,(9)(23),
162,"PSI Services, LLC","Lifelong Learner Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/20/25,597,(55),(25),(8)(9)(21)(23),
163,"PSI Services, LLC","Lifelong Learner Holdings, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,10/19/26,2388,(18),(111),(8)(9)(21)(23),
166,"RA Outdoors, LLC (Active Outdoors)","RA Outdoors, LLC",First Lien Secured Debt,"5.82 (6M L+475, 1.00 Floor)",09/11/24,6626,6542,6428,(9),
167,"RA Outdoors, LLC (Active Outdoors)","RA Outdoors, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/09/22,1200,(12),(24),(8)(9)(21)(23),
168,"RA Outdoors, LLC (Active Outdoors)","RA Outdoors, LLC",Second Lien Secured Debt,"9.82 (6M L+875, 1.00 Floor)",09/11/25,31950,31404,30352,(9),
171,Soliant,"Soliant Holdings, LLC",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",12/31/26,18064,17715,17587,(9),
172,Soliant,"Soliant Holdings, LLC",First Lien Secured Debt - Revolver,"6.50 (1M L+550, 1.00 Floor)",12/31/24,323,323,310,(9)(23),
173,Soliant,"Soliant Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/24,1614,(37),(62),(8)(9)(21)(23),
174,Soliant,"Soliant Health, Inc.",Common Equity/Interests - Common Stock,N/A,N/A,300 Shares,300,300,(9)(13),
177,"Transplace Holdings, Inc.","Transplace Holdings, Inc.",Second Lien Secured Debt,"9.82 (3M L+875, 1.00 Floor)",10/06/25,8599,8449,8169,,
179,US Legal Support,"US Legal Support Investment Holdings, LLC",Common Equity/Interests - Series A-1 Units,N/A,N/A,"631,972 Shares",632,623,(9)(13),
180,US Legal Support,"USLS Acquisition, Inc.",First Lien Secured Debt,"6.82 (6M L+575, 1.00 Floor)",12/02/24,24498,24111,23630,(9),
181,US Legal Support,"USLS Acquisition, Inc.",First Lien Secured Debt - Revolver,6.82 (6M L+575),12/02/24,1522,1497,1436,(9)(23),
182,US Legal Support,"USLS Acquisition, Inc.",First Lien Secured Debt - Letters of Credit,5.75,06/06/20 - 12/21/20,86,0,(5),(8)(9)(23),
185,Vertafore,"Vertafore, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/30/23,14576,"(1,121)","(1,676)",(8)(21)(23),
186,Vertafore,"Vertafore, Inc.",First Lien Secured Debt - Letter of Credit,3.25,01/17/21,424,0,(49),(8)(23),
191,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),Carbonfree Caustic SPE LLC (4),First Lien Secured Debt,5.00,12/31/24,13111,13111,13111,,
192,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC) (4),First Lien Secured Debt,3.00,12/31/24,17057,17057,4389,,
193,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),Carbonfree Chemicals Holdings LLC (4),Common Equity/Interests - Common Stock,N/A,N/A,"1,446 Shares",30886,15105,(13),
194,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),Carbonfree Chemicals SA LLC (4),Common Equity/Interests - Class B Units,N/A,N/A,"1,313 Shares",15403,0,(13),
197,Niacet Corporation,"Hare Bidco, Inc.",Second Lien Secured Debt,9.75 (1M E+875),08/01/24,13574,14506,14671,,
199,"Westfall Technik, Inc.","Westfall Technik, Inc.",First Lien Secured Debt,"7.20 (3M L+575, 1.00 Floor)",09/13/24,15268,15033,14839,(9),
200,"Westfall Technik, Inc.","Westfall Technik, Inc.",First Lien Secured Debt,"7.02 (3M L+575, 1.00 Floor)",09/13/24,671,665,653,(9),
201,"Westfall Technik, Inc.","Westfall Technik, Inc.",First Lien Secured Debt - Revolver,"7.21 (3M L+550, 1.00 Floor)",09/13/24,135,105,131,(9)(23),
202,"Westfall Technik, Inc.","Westfall Technik, Inc.",First Lien Secured Debt - Revolver,8.00 (P+475),09/13/24,1885,1885,1831,(9)(23),
203,"Westfall Technik, Inc.","Westfall Technik, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,09/13/24,12829,(112),(360),(8)(9)(21)(23),
208,Englert,"Gutter Buyer, Inc.",First Lien Secured Debt,"7.25 (1M L+625, 1.00 Floor)",03/06/25,26915,26479,25873,(9),
209,Englert,"Gutter Buyer, Inc.",First Lien Secured Debt - Revolver,8.50 (P+525),03/06/24,2727,2674,2621,(9)(23),
210,Englert,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,03/06/25,2045,(42),(79),(8)(9)(21)(23),
211,Englert,"Gutter Holdings, LP",Common Equity/Interests - Common Stock,N/A,N/A,500 Shares,500,558,(9)(13),
215,A&V,"A&V Holdings Midco, LLC",First Lien Secured Debt,"5.75 (3M L+475, 1.00 Floor)",03/10/27,11137,11027,11027,,
216,A&V,"A&V Holdings Midco, LLC",First Lien Secured Debt - Revolver,"5.50 (1M L+450, 1.00 Floor)",03/10/25,813,813,805,(23),
217,A&V,"A&V Holdings Midco, LLC",First Lien Secured Debt - Revolver,"5.50 (3M L+450, 1.00 Floor)",03/10/25,90,90,89,(23),
218,A&V,"A&V Holdings Midco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/10/25,602,(134),(6),(8)(21)(23),
221,Dan Dee,"Project Comfort Buyer, Inc.",First Lien Secured Debt,"8.00 (6M L+700, 1.00 Floor)",02/03/25,26283,25665,24969,(9),
222,Dan Dee,"Project Comfort Buyer, Inc.",First Lien Secured Debt,9.25 (P+600),02/03/25,867,846,823,(9),
223,Dan Dee,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/01/24,3461,(80),(173),(8)(9)(21)(23),
224,Dan Dee,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,02/03/25,2308,(28),(115),(8)(9)(21)(23),
225,Dan Dee,"Project Comfort Buyer, Inc.",Preferred Equity - Preferred Stock,N/A,N/A,"461,538 Shares",462,231,(9)(13),
228,"Hayward Industries, Inc.","Hayward Industries, Inc.",Second Lien Secured Debt,9.24 (1M L+825),08/04/25,21919,21693,20639,,
230,KDC,KDC US Holdings,First Lien Secured Debt - Revolver,5.50 (P+225),12/21/23,5731,5732,5173,(23),
231,KDC,KDC US Holdings,First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,12/21/23,214,0,(22),(8)(21)(23),
232,KDC,KDC US Holdings,First Lien Secured Debt - Letters of Credit,3.25,11/06/20 - 03/08/21,65,0,(6),(8)(23),
233,KDC,KDC US Holdings,First Lien Secured Debt - Letter of Credit,3.25,02/05/21,10,0,0,(8)(23),
236,"KLO Holdings, LLC",9357-5991 Quebec Inc.,First Lien Secured Debt,11.82 (3M L+775 Cash plus 2.00 PIK),04/07/22,9562,8653,2118,(13)(14),
237,"KLO Holdings, LLC",KLO Acquisition LLC,First Lien Secured Debt,11.82 (3M L+775 Cash plus 2.00 PIK),04/07/22,5373,4838,30,(13)(14),
240,NSi Industries,"Wildcat BuyerCo, Inc.",First Lien Secured Debt,"7.14 (3M L+550, 1.00 Floor)",02/27/26,6087,5946,5946,,
241,NSi Industries,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/27/26,717,(16),(16),(8)(21)(23),
242,NSi Industries,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Letter of Credit,5.50,08/30/20,8,0,0,(23),
243,NSi Industries,"Wildcat BuyerCo, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,02/27/26,3188,(35),(72),(8)(21)(23),
244,NSi Industries,Wildcat Parent LP,Common Equity/Interests - Common Stock,N/A,N/A,"1,000 Shares",100,100,(13),
247,Liqui-Box,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,"5.95 (3M L+450, 1.00 Floor)",02/26/25,475,475,470,(23),
248,Liqui-Box,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,"5.50 (3M L+450, 1.00 Floor)",02/26/25,712,712,705,(23),
249,Liqui-Box,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,"5.73 (3M L+450, 1.00 Floor)",02/26/25,1186,1186,1175,(23),
250,Liqui-Box,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Revolver,"5.77 (3M L+450, 1.00 Floor)",02/26/25,712,712,705,(23),
251,Liqui-Box,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/26/25,401,(35),(4),(8)(21)(23),
252,Liqui-Box,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Letters of Credit,4.50,09/27/20 - 10/01/20,32,0,0,(23),
253,Liqui-Box,"Liqui-Box Holdings, Inc.",First Lien Secured Debt - Letter of Credit,4.50,06/30/21,42,0,0,(23),
256,"Sorenson Holdings, LLC","Sorenson Holdings, LLC",Common Equity/Interests - Membership Interests,N/A,N/A,587 Shares,0,418,(10)(13),
260,3D Protein,"Protein For Pets Opco, LLC",First Lien Secured Debt,"6.00 (1M L+500, 1.00 Floor)",11/28/25,12717,12495,12399,(9),
261,3D Protein,"Protein For Pets Opco, LLC",First Lien Secured Debt - Revolver,"6.22 (3M L+500, 1.00 Floor)",05/31/24,444,444,433,(9)(23),
262,3D Protein,"Protein For Pets Opco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/31/24,1775,(48),(44),(8)(9)(21)(23),
265,Beauty Industry Group (BIG),"BIG Buyer, LLC",First Lien Secured Debt,"7.57 (6M L+650, 1.00 Floor)",11/20/23,22368,21889,21504,(9),
266,Beauty Industry Group (BIG),"BIG Buyer, LLC",First Lien Secured Debt - Revolver,"7.57 (6M L+650, 1.00 Floor)",11/20/23,120,120,114,(9)(23),
267,Beauty Industry Group (BIG),"BIG Buyer, LLC",First Lien Secured Debt - Revolver,"7.50 (1M L+650, 1.00 Floor)",11/20/23,602,602,570,(9)(23),
268,Beauty Industry Group (BIG),"BIG Buyer, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/20/23,1083,(39),(57),(8)(9)(21)(23),
271,DMC,Lion Cashmere Midco Limited,First Lien Secured Debt,"6.75 (6M L+575, 1.00 Floor)",03/21/25,13053,12863,11969,(9)(17),
272,DMC,Lion Cashmere Midco Limited,First Lien Secured Debt - Revolver,5.75 (3M E+525),03/21/24,356,392,357,(9)(17)(23),
273,DMC,Lion Cashmere Midco Limited,First Lien Secured Debt - Revolver,5.75 (6M E+525),03/21/24,605,655,608,(9)(17)(23),
274,DMC,Lion Cashmere Midco Limited,First Lien Secured Debt - Revolver,5.86 (6M GBPL+525),03/21/24,225,247,226,(9)(17)(23),
275,DMC,Lion Cashmere Midco Limited,First Lien Secured Debt - Unfunded Delayed Draw,2.01 Unfunded,03/21/25,2371,(39),(216),(8)(9)(17)(21)(23),
278,Olaplex,"Olaplex, Inc.",First Lien Secured Debt,"7.50 (1M L+650, 1.00 Floor)",01/08/26,26200,25696,25696,(9),
279,Olaplex,"Olaplex, Inc.",First Lien Secured Debt - Revolver,"7.50 (1M L+650, 1.00 Floor)",01/08/25,3800,3727,3724,(9)(23),
282,"Sequential Brands Group, Inc.","Sequential Brands Group, Inc.",Second Lien Secured Debt,9.75 (1M L+875),02/07/24,12965,12882,12289,(17),
286,1A Smart Start LLC,1A Smart Start LLC,Second Lien Secured Debt,"9.32 (3M L+825, 1.00 Floor)",08/22/22,25100,24842,24282,,
288,Clarus Commerce,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt,"6.57 (6M L+550, 1.00 Floor)",07/01/25,9245,9103,8806,,
289,Clarus Commerce,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/01/25,685,(10),(33),(8)(21)(23),
