,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
22,"My Alarm Center, LLC, Term Loan C (16)(23)",,Business Services,,11.00 (P+700),,1/9/19,,439,,,439,,,439,,,,,
23,"My Alarm Center, LLC, Unfunded Term Loan C (16)(21)(23)",,Business Services,,0.35 Unfunded,,1/9/19,,558,,,0,,,0,,,,,
24,"Nextech Systems, LLC (18)",,High Tech Industries,,"8.25 (3M L+725, 1.00 Floor)",,6/22/21,,21857,,,21367,,,21419,,,,,
25,"Oxford Immunotec, Inc. (9)(16)(17)",,Healthcare & Pharmaceuticals,,8.22 (1M L+760),,10/1/21,,9750,,,9726,,,9724,,,,,
26,"Saba Software, Inc. (18)",,High Tech Industries,,"9.75 (1M L+875, 1.00 Floor)",,3/30/21,,9850,,,9850,,,9702,,,,,
27,"SCM Insurance Services, Inc. (17)",,Business Services,,9.25,,8/22/19,,C$,39480,,,33293,,,24559,,,,
28,Telestream Holdings Corporation (18),,High Tech Industries,,"7.77 (3M L+677, 1.00 Floor)",,1/15/20,,30503,,,30503,,,29893,,,,,
29,UniTek Global Services Inc. (16),,Telecommunications,,"8.50 (3M L+750, 1.00 Floor)",,1/13/19,,32367,,,32367,,,32367,,,,,
30,UniTek Global Services Inc. (16),,Telecommunications,,"9.50 (3M L+750 Cash plus 1.00 PIK, 1.00 Floor)",,1/13/19,,11680,,,11680,,,11680,,,,,
31,Total First Lien Secured Debt (excluding Revolvers and Letters of Credit)025.8 (10),,,419150,,,,388094,,,,,,,,,,,,
32,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,
33,Revolvers and Letters of Credit,,,,,,,,,,,,,,,,,,,
34,"Alliant Holdings Intermediate, LLC, Unfunded Revolver (8)(16)(21)(23)",,Insurance,,0.50 Unfunded,,8/14/20,,,14813,,,,"(1,236",,,,(971,,
35,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375,,4/24/17,,37,,,0,,,(2,,,,,
36,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375,,5/4/17,,8,,,0,,,(1,,,,,
37,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375,,6/30/17,,17,,,0,,,(1,,,,,
38,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375,,7/29/17,,80,,,0,,,(5,,,,,
39,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375,,10/3/17,,8,,,0,,,(1,,,,,
40,"Alliant Holdings Intermediate, LLC, Letter of Credit (8)(16)(23)",,Insurance,,3.375,,11/30/17,,37,,,0,,,(2,,,,,
41,"American Media, Inc., Revolver (16)(23)",,"Advertising, Printing & Publishing",,"8.50 (1M L+750, 1.00 Floor)",,8/24/20,,1067,,,1067,,,1035,,,,,
42,"American Media, Inc., Unfunded Revolver (8)(16)(21)(23)",,"Advertising, Printing & Publishing",,0.50 Unfunded,,8/24/20,,505,,,(49,,,(15,,,,,
43,"American Media, Inc., Letter of Credit (8)(16)(23)",,"Advertising, Printing & Publishing",,7.50,,8/24/20,,206,,,0,,,(6,,,,,
44,"Endologix, Inc., Unfunded Revolver (8)(9)(17)(21)(23)",,Healthcare & Pharmaceuticals,,0.50 Unfunded,,7/29/20,,5000,,,(22,,,(25,,,,,
45,"LabVantage Solutions Limited, Unfunded Revolver (8)(16)(17)(21)(23)",,High Tech Industries,,0.50 Unfunded,,12/29/20,,€,3435,,,(96,,,(72,,,,
46,"My Alarm Center, LLC, Revolver (16)(23)",,Business Services,,11.00 (P+700),,1/9/19,,2708,,,2708,,,2708,,,,,
47,"My Alarm Center, LLC, Unfunded Revolver (16)(21)(23)",,Business Services,,0.35 Unfunded,,1/9/19,,3542,,,0,,,0,,,,,
48,"Oxford Immunotec, Inc., Unfunded Revolver (8)(9)(16)(17)(21)(23)",,Healthcare & Pharmaceuticals,,0.50 Unfunded,,10/1/21,,1000,,,(5,,,(5,,,,,
49,"Tibco Software Inc., Unfunded Revolver (8)(21)(23)",,High Tech Industries,,0.50 Unfunded,,12/5/19,,6000,,,(35,,,(840,,,,,
50,"TricorBraun Holdings, Inc., Revolver (9)(16)(23)",,"Containers, Packaging & Glass",,5.75 (P+225),,11/30/21,,998,,,998,,,993,,,,,
51,"TricorBraun Holdings, Inc., Unfunded Revolver (8)(9)(16)(21)(23)",,"Containers, Packaging & Glass",,0.50 Unfunded,,11/30/21,,4627,,,(497,,,(20,,,,,
52,"UniTek Global Services Inc., Unfunded Revolver (16)(21)(23)",,Telecommunications,,0.50 Unfunded,,1/13/19,,5000,,,0,,,0,,,,,
53,"UniTek Global Services Inc., Letter of Credit (16)(23)",,Telecommunications,,7.50,,1/13/19,,8812,,,0,,,0,,,,,
54,"UniTek Global Services Inc., Letter of Credit (16)(23)",,Telecommunications,,7.50,,1/13/19,,1850,,,0,,,0,,,,,
55,"Wright Medical Group, Inc., Revolver (9)(16)(17)(23)",,Healthcare & Pharmaceuticals,,"5.00 (1M L+425, 0.75 Floor)",,12/23/21,,10000,,,10000,,,9900,,,,,
56,"Wright Medical Group, Inc., Unfunded Revolver (8)(9)(16)(17)(21)(23)",,Healthcare & Pharmaceuticals,,0.50 Unfunded,,12/23/21,,40000,,,(478,,,(400,,,,,
57,Total Revolvers and Letters of Credit00.8 (10),,,,,,,,,12355,,,,12270,,,,,,
58,Total First Lien Secured Debt026.6 (10),,,,,,,,,431505,,,,400364,,,,,,
59,Second Lien Secured Debt,,,,,,,,,,,,,,,,,,,
60,1A Smart Start LLC,,Consumer Services,,"9.50 (3M L+850, 1.00 Floor)",,8/22/22,,,35000,,,,34405,,,,34422,,
61,"Access CIG, LLC (16)",,Business Services,,"9.75 (3M L+875, 1.00 Floor)",,10/17/22,,35755,,,34314,,,35599,,,,,
62,"Access CIG, LLC (16)",,Business Services,,"9.75 (3M L+875, 1.00 Floor)",,10/17/22,,15215,,,14676,,,15148,,,,,
63,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,
64,"Active Network, LLC",,Business Services,,"10.50 (3M L+950, 1.00 Floor)",,11/15/21,,,16225,,,,16074,,,,16022,,
65,A-L Parent LLC,,"Advertising, Printing & Publishing",,"8.25 (3M L+725, 1.00 Floor)",,12/2/24,,10048,,,9948,,,10123,,,,,
66,"Appriss Holdings, Inc.",,Business Services,,"10.25 (3M L+925, 1.00 Floor)",,5/21/21,,23309,,,23044,,,23309,,,,,
67,"Aptean, Inc.",,Business Services,,"10.50 (3M L+950, 1.00 Floor)",,12/20/23,,9548,,,9404,,,9530,,,,,
68,Armor Holding II LLC,,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,"10.25 (3M L+900, 1.25 Floor)",,12/26/20,,8000,,,7900,,,8030,,,,,
69,Asurion Corporation,,Insurance,,"8.50 (3M L+750, 1.00 Floor)",,3/3/21,,39590,,,39394,,,40357,,,,,
70,"BioClinica Holding I, LP",,Healthcare & Pharmaceuticals,,"9.25 (3M L+825, 1.00 Floor)",,10/21/24,,24612,,,24128,,,24504,,,,,
71,Confie Seguros Holding II Co.,,Insurance,,"10.25 (1M L+900, 1.25 Floor)",,5/8/19,,22344,,,22269,,,22232,,,,,
72,"Elements Behavioral Health, Inc.",,Healthcare & Pharmaceuticals,,"13.00 (3M L+1200 PIK, 1.00 Floor)",,2/11/20,,10832,,,10777,,,8666,,,,,
73,Garden Fresh Restaurant Corp. (14)(16),,"Hotel, Gaming, Leisure, Restaurants",,"7.75 (3M L+625 PIK, 1.50 Floor)",,1/1/19,,9466,,,7746,,,0,,,,,
74,Garden Fresh Restaurant Corp. (14)(16),,"Hotel, Gaming, Leisure, Restaurants",,"15.00 (3M L+1350 PIK, 1.50 Floor)",,1/1/19,,51902,,,45904,,,0,,,,,
75,"GCA Services Group, Inc.",,Business Services,,"10.00 (3M L+900, 1.00 Floor)",,3/1/24,,10000,,,9767,,,9950,,,,,
76,"Grocery Outlet, Inc.",,Food & Grocery,,"9.25 (3M L+825, 1.00 Floor)",,10/21/22,,25000,,,24703,,,25063,,,,,
77,"Infiltrator Systems Integrated, LLC",,"Manufacturing, Capital Equipment",,"9.75 (3M L+875, 1.00 Floor)",,5/26/23,,13889,,,13651,,,13958,,,,,
78,"Institutional Shareholder Services, Inc.",,Business Services,,"9.50 (3M L+850, 1.00 Floor)",,4/30/22,,8232,,,8159,,,8149,,,,,
79,"K&N Parent, Inc.",,Automotive,,"9.75 (3M L+875, 1.00 Floor)",,10/21/24,,30000,,,29407,,,29775,,,,,
80,"Lanai Holdings III, Inc.",,Healthcare & Pharmaceuticals,,"9.50 (3M L+850, 1.00 Floor)",,8/28/23,,17391,,,16892,,,16870,,,,,
81,"Landslide Holdings, Inc.",,Business Services,,"9.50 (3M L+850, 1.00 Floor)",,9/21/23,,18510,,,18152,,,18880,,,,,
82,"Ministry Brands, LLC (16)(23)",,Business Services,,"10.25 (3M L+925, 1.00 Floor)",,6/2/23,,7840,,,7724,,,7720,,,,,
83,"Ministry Brands, LLC, Unfunded Delayed Draw (8)(16)(21)(23)",,Business Services,,"5.63 Unfunded (3ML+463, 1.00 Floor)",,6/2/23,,2160,,,(32,,,(33,,,,,
84,MSC Software Corp. (17),,High Tech Industries,,"8.50 (3M L+750, 1.00 Floor)",,5/31/21,,13448,,,13355,,,13465,,,,,
85,"MW Industries, Inc.",,"Manufacturing, Capital Equipment",,"10.25 (3M L+925, 1.00 Floor)",,12/28/20,,20000,,,19546,,,19900,,,,,
86,PAE Holding Corporation,,Aerospace & Defense,,"10.50 (3M L+950, 1.00 Floor)",,10/20/23,,22026,,,21269,,,22411,,,,,
87,"PetVet Care Centers, LLC",,Healthcare & Pharmaceuticals,,"9.50 (3M L+850, 1.00 Floor)",,6/17/21,,13500,,,13098,,,13297,,,,,
88,"Poseidon Merger Sub, Inc.",,Business Services,,"9.50 (3M L+850, 1.00 Floor)",,8/15/23,,18000,,,17551,,,17820,,,,,
89,"Power Products, LLC (9)",,"Manufacturing, Capital Equipment",,"10.00 (3M L+900, 1.00 Floor)",,12/20/23,,37500,,,36194,,,36844,,,,,
90,River Cree Enterprises LP (11)(17),,"Hotel, Gaming, Leisure, Restaurants",,11.00,,1/20/21,,C$,19000,,,17913,,,14133,,,,
91,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,
92,"Sequential Brands Group, Inc. (17)",,Consumer Goods – Durable,,9.63 (1M L+900),,7/1/22,,,17600,,,,17397,,,,17330,,
93,"SiTV, Inc. (11)",,Broadcasting & Subscription,,10.375,,7/1/19,,2219,,,2219,,,1354,,,,,
94,SMG,,"Hotel, Gaming, Leisure, Restaurants",,"9.25 (3M L+825, 1.00 Floor)",,2/27/21,,19649,,,19649,,,19600,,,,,
95,"Sprint Industrial Holdings, LLC",,"Containers, Packaging & Glass",,"11.25 (3M L+1000, 1.25 Floor)",,11/14/19,,16163,,,15627,,,8647,,,,,
96,"Sterling Holdings Ultimate Parent, Inc.",,Business Services,,"9.25 (3M L+825, 1.00 Floor)",,6/19/23,,20000,,,19819,,,20000,,,,,
97,"STG-Fairway Acquisitions, Inc.",,Business Services,,"10.25 (3M L+925, 1.00 Floor)",,6/30/23,,15000,,,14675,,,14100,,,,,
98,"TMK Hawk Parent, Corp.",,"Transportation – Cargo, Distribution",,"8.50 (3M L+750, 1.00 Floor)",,10/1/22,,34000,,,33735,,,33830,,,,,
99,"Velocity Technology Solutions, Inc.",,Business Services,,"9.50 (3M L+825, 1.25 Floor)",,9/28/20,,16500,,,16286,,,16088,,,,,
100,"Wave Holdco Merger Sub, Inc.",,Telecommunications,,"10.25 (3M L+925, 1.00 Floor)",,5/27/23,,10000,,,9761,,,9826,,,,,
101,Total Second Lien Secured Debt043.6 (10),,,,,,,,,716500,,,,656919,,,,,,
102,Total Secured Debt070.2 (10),,,,,,,,,1148005,,,,1057283,,,,,,
103,Unsecured Debt,,,,,,,,,,,,,,,,,,,
104,"American Tire Distributors, Inc. (11)",,"Transportation – Cargo, Distribution",,10.25,,3/1/22,,,14741,,,,14811,,,,14133,,
105,Canacol Energy Ltd. (17),,Energy – Oil & Gas,,"9.50 (3M L+850, 1.00 Floor)",,12/31/19,,75000,,,73694,,,73500,,,,,
106,"Flex Acquisition Company, Inc.",,"Containers, Packaging & Glass",,"8.00 (3M L+700, 1.00 Floor)",,12/29/17,,12777,,,12714,,,12713,,,,,
107,"Lonestar Intermediate Super Holdings, LLC",,Insurance,,"10.00 (1M L+900 Cash (1M L+975 PIK Toggle), 1.00 Floor)",,8/31/21,,4865,,,4819,,,5034,,,,,
108,"Sorenson Holdings, LLC (11)",,Consumer Goods – Durable,,13.85 Cash (13.85 PIK Toggle),,10/31/21,,52,,,35,,,48,,,,,
109,"U.S. Security Associates Holdings, Inc.",,Business Services,,11.00,,7/28/18,,135000,,,135000,,,135000,,,,,
110,UniTek Global Services Inc. (16),,Telecommunications,,15.00 PIK,,7/13/19,,8231,,,8231,,,8355,,,,,
111,Total Unsecured Debt016.5 (10),,,,,,,,,249304,,,,248783,,,,,,
112,Total Corporate Debt086.7 (10),,,,,,,,,1397309,,,,1306066,,,,,,
113,Structured Products and Other,,,,,,,,,,,,,,,,,,,
114,Asset Repackaging Trust Six B.V. (11)(17)(19),,Utilities – Electric,,13.11,,5/18/27,,,58411,,,,25548,,,,30894,,
115,"Craft 2013-1, Credit-Linked Note (11)(16)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,10.13 (3M L+925),,4/17/22,,25000,,,25020,,,24750,,,,,
116,"Craft 2013-1, Credit-Linked Note (16)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,10.13 (3M L+925),,4/17/22,,7625,,,7700,,,7549,,,,,
117,"Craft 2014-1A, Credit-Linked Note (11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,10.55 (3M L+965),,5/15/21,,42500,,,42375,,,41650,,,,,
118,"Craft 2015-2, Credit-Linked Note (11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,10.13 (3M L+925),,1/16/24,,26000,,,25833,,,24960,,,,,
119,"NXT Capital CLO 2014-1, LLC, Class E Notes (11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,6.38 (3M L+550),,4/23/26,,5000,,,4708,,,4324,,,,,
120,Total Structured Products and Other08.9 (10),,,,,,,,,131184,,,,134127,,,,,,
121,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,
122,Equity,,,,,,,,,,,,,,,,,,,
123,Preferred Equity,,,,,,Shares,,,,,,,,,,,,,
124,"Delta Career Education Corporation, Super Senior Preferred Stock A (13)",,Education,,,,,,7812,,,,7049,,,,0.0,,,
125,"Delta Career Education Corporation, Super Senior Preferred Stock B (13)",,Education,,,,,,10585,,,8788,,,0,,,,,
126,"Delta Career Education Corporation, Super Senior Preferred Stock C (13)",,Education,,,,,,23769,,,20665,,,0,,,,,
127,"Gryphon Colleges Corp., Preferred Stock (13)(14)",,Education,,12.50 PIK,,,,332500,,,6863,,,0,,,,,
128,"Gryphon Colleges Corp., Preferred Stock (13)(14)",,Education,,13.50 PIK,,,,12360,,,27686,,,0,,,,,
129,"Sungevity Inc., Series D Preferred Stock (13)",,Energy – Electricity,,,,,,114678899,,,4408,,,4393,,,,,
130,Total Preferred Equity00.3 (10),,,,,,,,,75459,,,,4393,,,,,,
131,Common Equity/Interests,,,,,,Shares,,,,,,,,,,,,,
132,"Accelerate Parent Corp., Common Stock (13)",,"Transportation – Cargo, Distribution",,,,,,1664046,,,,1714,,,,1270.0,,,
133,"Clothesline Holdings, Inc., Common Stock (13)",,Healthcare & Pharmaceuticals,,,,,,6000,,,6000,,,0,,,,,
134,"Garden Fresh Restaurant Holdings, LLC, Common Stock (13)",,"Hotel, Gaming, Leisure, Restaurants",,,,,,50000,,,5000,,,0,,,,,
135,"Gryphon Colleges Corp., Common Stock (13)",,Education,,,,,,17500,,,175,,,0,,,,,
136,"Skyline Data, News and Analytics LLC, Class A Common Unit (13)",,Business Services,,,,,,4500000,,,4500,,,4500,,,,,
137,"Sorenson Holdings, LLC, Membership Interests (13)",,Consumer Goods – Durable,,,,,,587,,,0,,,135,,,,,
138,Total Common Equity/Interests00.4 (10),,,,,,,,,17389,,,,5905,,,,,,
139,Warrants,,,,,,Warrants,,,,,,,,,,,,,
140,"Gryphon Colleges Corp., Class A-1 Preferred Stock Warrants (13)",,Education,,,,,,45947,,,,460,,,,0.0,,,
141,"Gryphon Colleges Corp., Class B-1 Preferred Stock Warrants (13)",,Education,,,,,,104314,,,1043,,,0,,,,,
142,"Gryphon Colleges Corp., Common Stock Warrants (13)",,Education,,,,,,9820,,,98,,,0,,,,,
143,Total Warrants00.0 (10),,,,,,,,,1601,,,,0,,,,,,
144,Total Equity0 0.7 (10),,,,,,,,,94449,,,,10298,,,,,,
145,Total Non-Controlled/Non-Affiliated Investments096.3 (10),,,,,,,1622942,,,,1450491,,,,,,,,
146,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,
147,Non-Controlled/Affiliated Investments (4),,,,,,,,,,,,,,,,,,,
148,Corporate Debt,,,,,,,,,,,,,,,,,,,
149,Secured Debt,,,,,,,,,,,,,,,,,,,
150,First Lien Secured Debt,,,,,,,,,,,,,,,,,,,
151,"Pelican Energy, LLC (14)(17)",,Energy – Oil & Gas,,10.00 PIK Toggle (10.00 Cash),,12/31/18,,,30373,,,,26665,,,,15155,,
152,Solarplicity Group Limited (3)(17),,Energy – Electricity,,12.50 PIK Toggle (12.50 cash),,11/30/22,,£,134565,,,196003,,,152601,,,,
153,Total First Lien Secured Debt011.1 (10),,,,,222668.0,,,,167756,,,,,,,,,,
154,Total Secured Debt011.1 (10),,,,,,,,,222668,,,,167756,,,,,,
155,Unsecured Debt,,,,,,,,,,,,,,,,,,,
156,"Venoco, Inc.",,Energy – Oil & Gas,,10.00 PIK,,7/25/17,,,338,,,,338,,,,338,,
157,Total Unsecured Debt00.0 (10),,,,,338.0,,,,338,,,,,,,,,,
158,Total Corporate Debt011.1 (10),,,,,,,,,223006,,,,168094,,,,,,
159,Structured Products and Other,,,,,,,,,,,,,,,,,,,
160,"Golden Bear 2016-R, LLC, Membership Interests (3)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,9/20/42,,,,,,16352,,,,16352.0,,,
161,"Ivy Hill Middle Market Credit Fund IX, Ltd., Subordinated Notes (3)(11)(17)(22)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,13.34,,10/18/25,,,12500,,,9377,,,9595,,,,
162,"Ivy Hill Middle Market Credit Fund X, Ltd., Subordinated Notes (3)(11)(17)(22)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,11.25,,7/18/27,,14000,,,11322,,,10634,,,,,
163,"MCF CLO III, LLC, Class E Notes (3)(11)(17)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,5.33 (3M L+445),,1/20/24,,12750,,,11661,,,10644,,,,,
164,"MCF CLO III, LLC, Membership Interests (3)(11)(17)(22)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,20.40,,1/20/24,,41900,,,32072,,,36396,,,,,
165,Total Structured Products and Other05.6 (10),,,,,,,,,80784,,,,83621,,,,,,
166,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,
167,Equity,,,,,,,,,,,,,,,,,,,
168,Preferred Equity,,,,,,Shares,,,,,,,,,,,,,
169,"Renew Financial LLC (f/k/a Renewable Funding, LLC), Series B Preferred Stock (13)",,Energy – Electricity,,,,,,1505868,,,,8343,,,,20459.0,,,
170,"Renew Financial LLC (f/k/a Renewable Funding, LLC), Series D Preferred Stock (13)",,Energy – Electricity,,,,,,436689,,,5568,,,5933,,,,,
171,Total Preferred Equity01.8 (10),,,,,,,,,13911,,,,26392,,,,,,
172,Common Equity/Interests,,,,,,Shares,,,,,,,,,,,,,
173,"AIC SPV Holdings I, LLC, Membership Interests (15)(17)(23)",,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,,,68861,,,,25987.0,,,
174,"AMP Solar Group, Inc., Class A Common Unit (13)(17)",,Energy – Electricity,,,,,,243646,,,10000,,,4690,,,,,
175,"LVI Group Investments, LLC, Common Units (3)(13)",,Environmental Industries,,,,,,212460,,,17505,,,10257,,,,,
176,"Pelican Energy, LLC, Membership Interests (13)(17)",,Energy – Oil & Gas,,,,,,1228,,,1099,,,0,,,,,
177,"Solarplicity Group Limited, Common Shares (2)(3)(13)(17)(27)",,Energy – Electricity,,,,,,2825,,,2471,,,0,,,,,
178,"Venoco, Inc., LLC Units (13)",,Energy – Oil & Gas,,,,,,192177,,,40517,,,10736,,,,,
179,Total Common Equity/Interests03.4 (10),,,,,,,,,140453,,,,51670,,,,,,
180,Warrants,,,,,,Warrants,,,,,,,,,,,,,
181,"Venoco, Inc., Series A Warrants (13)",,Energy – Oil & Gas,,,,,,23125,,,,48170,,,,376.0,,,
182,Total Warrants00.0 (10),,,,,,,,,48170,,,,376,,,,,,
183,Total Equity05.2 (10),,,,,,,,,202534,,,,78438,,,,,,
184,Total Non-Controlled/Affiliated Investments021.9 (10),,,,,,,,,506324,,,,330153,,,,,,
185,Investment,,Industry,,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,,
186,Controlled Investments (5),,,,,,,,,,,,,,,,,,,
187,Corporate Debt,,,,,,,,,,,,,,,,,,,
188,Secured Debt,,,,,,,,,,,,,,,,,,,
189,First Lien Secured Debt,,,,,,,,,,,,,,,,,,,
190,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,,,,,,,,,,,,,,
191,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (16)(23)",,Energy – Oil & Gas,,8.00 Cash (10.00 PIK Toggle),,3/29/19,,,10000,,,,10000,,,,10000,,
192,"SHD Oil & Gas, LLC, Tranche A Note (16)",,Energy – Oil & Gas,,14.00 (8.00 Cash plus 6.00 PIK),,12/31/19,,40000,,,40000,,,40000,,,,,
193,"SHD Oil & Gas, LLC, Tranche B Note (14)(16)",,Energy – Oil & Gas,,14.00 PIK,,12/31/19,,60531,,,44380,,,28937,,,,,
194,"SHD Oil & Gas, LLC, Tranche C Note (16)(23)",,Energy – Oil & Gas,,12.00,,12/31/19,,6750,,,6750,,,6750,,,,,
195,"SHD Oil & Gas, LLC, Unfunded Tranche C Note (16)(21)(23)",,Energy – Oil & Gas,,0.00 Unfunded,,12/31/19,,11250,,,0,,,0,,,,,
196,Total First Lien Secured Debt (excluding Revolvers and Letters of Credit)05.7 (10),,,,,101130.0,,,,85687,,,,,,,,,,
197,Revolvers and Letters of Credit,,,,,,,,,,,,,,,,,,,
198,"Dynamic Product Tankers, LLC, Letter of Credit (17)(23)",,"Transportation – Cargo, Distribution",,2.25,,9/20/17,,,2250,,,,0,,,,0,,
199,"Merx Aviation Finance, LLC, Revolver (16)(23)",,Aviation and Consumer Transport,,12.00,,10/31/18,,399084,,,399083,,,399084,,,,,
200,"Merx Aviation Finance, LLC, Letter of Credit (16)(23)",,Aviation and Consumer Transport,,2.25,,7/13/17,,177,,,0,,,0,,,,,
201,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (16)(23)",,Aviation and Consumer Transport,,2.25,,9/30/17,,1800,,,0,,,0,,,,,
202,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (16)(23)",,Aviation and Consumer Transport,,2.25,,9/30/17,,1800,,,0,,,0,,,,,
203,Total Revolvers and Letters of Credit026.5 (10),,,,,,,,,399083,,,,399084,,,,,,
204,Total First Lien Secured Debt032.2 (10),,,,,,,,,500213,,,,484771,,,,,,
205,Second Lien Secured Debt,,,,,,,,,,,,,,,,,,,
206,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (16)",,Energy – Oil & Gas,,10.00 PIK Toggle (8.00 Cash),,3/29/21,,,26939,,,,26939,,,,26939,,
207,Total Second Lien Secured Debt01.8 (10),,,,,,,,,26939,,,,26939,,,,,,
208,Total Secured Debt034.0 (10),,,,,,,,,527152,,,,511710,,,,,,
209,Total Corporate Debt034.0 (10),,,,,,,,,527152,,,,511710,,,,,,
210,Equity,,,,,,,,,,,,,,,,,,,
211,Common Equity/Interests,,,,,,Shares,,,,,,,,,,,,,
