,Industry,Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
51,Business Services,"CT Technologies Intermediate Holdings, Inc",Second Lien Secured Debt,"11.24 (1M L+900, 1.00 Floor)",12/01/22,31253,30553,30159,(9),
52,Business Services,Education Personnel,First Lien Secured Debt,"7.28 (6M L+475, 0.50 Floor)",08/31/24,4118,5207,5316,(9)(17),
53,Business Services,Education Personnel,First Lien Secured Debt - Revolver,"7.28 (6M L+475, 0.50 Floor)",08/31/24,1470,1866,1898,(9)(17)(23),
54,Business Services,Education Personnel,First Lien Secured Debt - Unfunded Delayed Draw,1.66 Unfunded,08/31/24,4412,0,0,(9)(17)(21)(23),
56,Business Services,Electro Rent Corporation,Second Lien Secured Debt,"11.21 (1M L+900, 1.00 Floor)",01/31/25,36598,35676,35866,(9),
57,Business Services,"Ministry Brands, LLC",Second Lien Secured Debt,"11.75 (6M L+925, 1.00 Floor)",06/02/23,10000,9891,10050,,
58,Business Services,"Newscycle Solutions, Inc.",First Lien Secured Debt,"9.24 (1M L+700, 1.00 Floor)",12/29/22,14641,14328,14494,(9),
59,Business Services,"Newscycle Solutions, Inc.",First Lien Secured Debt,"9.26 (1M L+700, 1.00 Floor)",12/29/22,1226,1208,1213,(9),
60,Business Services,"Newscycle Solutions, Inc.",First Lien Secured Debt - Revolver,"9.23 (1M L+700, 1.00 Floor)",12/29/22,240,240,238,(9)(23),
61,Business Services,"Newscycle Solutions, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/29/22,260,(11,(3,(8)(9)(21)(23),
63,Business Services,"PSI Services, LLC",First Lien Secured Debt,"7.24 (1M L+500, 1.00 Floor)",01/20/23,4598,4515,4574,(9),
64,Business Services,"PSI Services, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,01/20/23,519,0,0,(9)(21)(23),
65,Business Services,"PSI Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/20/22,397,(7,(2,(8)(9)(21)(23),
66,Business Services,"PSI Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/20/22,47,0,0,(9)(21)(23),
67,Business Services,"RA Outdoors, LLC",First Lien Secured Debt,"6.92 (1M L+475, 1.00 Floor)",09/11/24,7174,7052,7103,(9),
68,Business Services,"RA Outdoors, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/09/22,1200,(19,(12,(8)(9)(21)(23),
69,Business Services,"RA Outdoors, LLC",Second Lien Secured Debt,"10.92 (1M L+875, 1.00 Floor)",09/11/25,34200,33457,33516,(9),
71,Business Services,"Skyline Data, News and Analytics LLC",Common Equity/Interests - Class A Common Unit,N/A,N/A,"4,500,000 Shares",4500,4500,(13),
72,Business Services,"STG-Fairway Acquisitions, Inc.",Second Lien Secured Debt,"11.49 (1M L+925, 1.00 Floor)",06/30/23,15000,14776,14400,(10),
73,Business Services,"Transplace Holdings, Inc.",Second Lien Secured Debt,"10.90 (1M L+875, 1.00 Floor)",10/06/25,8599,8409,8717,(10),
74,Business Services,"U.S. Security Associates Holdings, Inc.",Unsecured Debt,11.00,01/28/20,80000,80000,80000,,
75,Business Services,"Vertafore, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/30/23,14591,"(1,639","(1,678",(8)(21)(23),
76,Business Services,"Vertafore, Inc.",First Lien Secured Debt - Letters of Credit,3.25,06/30/23,409,0,(47,(8)(23),
81,Carbon Free Chemicals,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),First Lien Secured Debt,5.215 PIK,09/30/20,48805,48805,47412,,
82,Carbon Free Chemicals,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),Common Equity/Partnership Interests - Residual Interests,N/A,09/30/20,10500,10500,0,(13),
83,Carbon Free Chemicals,Carbonfree Caustic SPE LLC,Unfunded Delayed Draw - Promissory Note,N/A,06/30/20,7611,0,0,(21)(23),
85,Carbon Free Chemicals,"Hare Bidco, Inc.",Second Lien Secured Debt,"9.75 (1M E+875, 1.00 Floor)",08/01/24,13574,14445,15451,,
86,Carbon Free Chemicals,"Westfall Technik, Inc.",First Lien Secured Debt,"7.33 (3M L+500, 1.00 Floor)",09/13/24,4712,4618,4617,(9),
87,Carbon Free Chemicals,"Westfall Technik, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,09/13/24,10769,(100,(108,(8)(9)(21)(23),
88,Carbon Free Chemicals,"Westfall Technik, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/24,2019,(37,(40,(8)(9)(21)(23),
92,Consumer Goods – Durable,"Hayward Industries, Inc.",Second Lien Secured Debt,10.49 (1M L+825),08/04/25,20836,20565,20718,,
94,KLO Holdings,9357-5991 Quebec Inc.,First Lien Secured Debt,"10.01 (1M L+775, 0.75 Floor)",04/07/22,9203,9122,8873,,
95,KLO Holdings,KLO Acquisition LLC,First Lien Secured Debt,"10.01 (1M L+775, 0.75 Floor)",04/07/22,5328,5281,5137,,
97,KLO Holdings,"Sorenson Holdings, LLC",Common Equity/Interests - Membership Interests,N/A,N/A,587 Shares,0,493,(13),
100,Consumer Goods – Non-Durable,"ABG Intermediate Holdings 2, LLC",Second Lien Secured Debt,"9.99 (1M L+775, 1.00 Floor)",09/29/25,7371,7343,7431,(10),
101,Consumer Goods – Non-Durable,"Sequential Brands Group, Inc.",Second Lien Secured Debt,10.92 (1M L+875),02/07/24,13229,13111,13209,(17),
102,Consumer Goods – Non-Durable,Reddy Ice Corporation,First Lien Secured Debt,"9.76 (1M L+750, 1.00 Floor)",06/30/23,29167,28751,28877,(9),
103,Consumer Goods – Non-Durable,Reddy Ice Corporation,First Lien Secured Debt,"9.76 (1M L+750, 1.00 Floor)",06/30/23,191,188,189,(9),
104,Consumer Goods – Non-Durable,Reddy Ice Corporation,First Lien Secured Debt - Revolver,11.75 (P+650),06/30/23,76,76,75,(9)(23),
105,Consumer Goods – Non-Durable,Reddy Ice Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/30/23,2844,(42,(13,(8)(9)(21)(23),
106,Consumer Goods – Non-Durable,Reddy Ice Corporation,First Lien Secured Debt - Letters of Credit,4.50,04/05/19,9680,0,(96,(8)(9)(23),
107,Consumer Goods – Non-Durable,Reddy Ice Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,06/30/23,1469,0,0,(9)(21)(23),
111,Consumer Services,1A Smart Start LLC,Second Lien Secured Debt,"10.49 (1M L+825, 1.00 Floor)",08/22/22,25100,24681,24667,,
112,Consumer Services,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"8.06 (3M BBSW+575, 1.00 Floor)",04/06/24,A$,6008,4350,4250,(17)
113,Consumer Services,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"8.06 (3M BBSW+575, 1.00 Floor)",04/06/24,A$,303,221,215,(17)
114,Consumer Services,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt - Unfunded Delayed Draw,2.59 Unfunded,04/06/24,A$,688,(7,(11,(8)(17)(21)(23)
118,"Containers, Packaging & Glass","Sprint Industrial Holdings, LLC",Second Lien Secured Debt,13.50 PIK,11/14/19,20378,18107,13636,(13)(14),
119,"Containers, Packaging & Glass","Sprint Industrial Holdings, LLC",Common Equity/Interests - Warrants,N/A,N/A,"7,341 Warrants",0,0,(13)(26),
121,"Containers, Packaging & Glass","TricorBraun Holdings, Inc.",First Lien Secured Debt - Revolver,7.50 (P+225),11/30/21,818,818,819,(23),
122,"Containers, Packaging & Glass","TricorBraun Holdings, Inc.",First Lien Secured Debt - Revolver,5.49 (1M L+325),11/30/21,1500,1500,1503,(23),
123,"Containers, Packaging & Glass","TricorBraun Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/30/21,3307,(320,0,(21)(23),
127,"Diversified Investment Vehicles, Banking, Finance, Real Estate",Craft 2015-2,Structured Products and Other - Credit-Linked Note,11.23 (3M L+925),01/16/24,24998,25495,24998,(11)(17),
128,"Diversified Investment Vehicles, Banking, Finance, Real Estate","Flock SPV I, LLC",First Lien Secured Debt,8.77 (1M L+650),08/30/22,8000,7922,7922,(9)(17),
129,"Diversified Investment Vehicles, Banking, Finance, Real Estate","Flock SPV I, LLC",First Lien Secured Debt - Revolver,8.74 (1M L+650),08/30/22,1333,1320,1320,(9)(17)(23),
130,"Diversified Investment Vehicles, Banking, Finance, Real Estate","Flock SPV I, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,08/30/22,10667,(104,(104,(8)(9)(17)(21)(23),
132,"Diversified Investment Vehicles, Banking, Finance, Real Estate","Golden Bear 2016-R, LLC (3)(4)",Structured Products and Other - Membership Interests,N/A,09/20/42,0,16595,13386,(17),
133,"Diversified Investment Vehicles, Banking, Finance, Real Estate",Mayfield Agency Borrower Inc.,Second Lien Secured Debt,"10.74 (1M L+850, 0.00 Floor)",03/02/26,5000,4930,4981,(10),
134,"Diversified Investment Vehicles, Banking, Finance, Real Estate","Purchasing Power, LLC",First Lien Secured Debt,7.62 (1M L+550),05/09/19,6300,6275,6274,(9),
135,"Diversified Investment Vehicles, Banking, Finance, Real Estate","Purchasing Power, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/09/19,3000,(12,(12,(8)(9)(21)(23),
136,"Diversified Investment Vehicles, Banking, Finance, Real Estate","Purchasing Power, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,05/09/19,20700,(83,(85,(8)(9)(21)(23),
138,"Diversified Investment Vehicles, Banking, Finance, Real Estate","Ten-X, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/29/22,4680,(337,(348,(8)(21)(23),
141,Energy – Electricity,"AMP Solar Group, Inc. (4)",Common Equity/Interests - Class A Common Unit,N/A,N/A,"243,646 Shares",10000,5238,(13)(17),
143,Renew Financial,"AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,N/A,N/A,143 Shares,534,949,(15)(17),
144,Renew Financial,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,N/A,N/A,"1,505,868 Shares",8343,18469,(13),
145,Renew Financial,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series D Preferred Stock,N/A,N/A,"436,689 Shares",5568,6426,(13),
146,Renew Financial,Renew JV LLC (4),Common Equity/Interests - Membership Interests,N/A,N/A,N/A,1602,1682,(13)(17),
149,Solarplicity Group,Solarplicity Group Limited (3)(4),First Lien Secured Debt,N/A,11/30/22,4331,5811,5514,(13)(17),
150,Solarplicity Group,Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00,03/08/23,5562,7637,7038,(17),
151,Solarplicity Group,Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5861,4847,(2)(13)(17),
152,Solarplicity Group,Solarplicity UK Holdings Limited,Common Equity/Interests - Ordinary Shares,N/A,N/A,"2,825 Shares",4,794,(2)(13)(17),
156,Energy – Oil & Gas,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",First Lien Secured Debt,8.00 Cash (10.00 PIK Toggle),03/29/19,15000,15000,15000,,
157,Energy – Oil & Gas,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00 PIK (8.00 Cash Toggle),03/29/21,32067,32067,32067,,
158,Energy – Oil & Gas,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Common Equity/Interests - Common Stock,N/A,N/A,"5,000,000 Shares",30079,13715,(13),
160,Energy – Oil & Gas,"Pelican Energy, LLC (4)",Common Equity/Interests - Membership Interests,N/A,N/A,"1,444 Shares",19458,7299,(13)(17)(29),
161,Energy – Oil & Gas,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00,12/31/19,19200,19200,19776,,
162,Energy – Oil & Gas,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche A Note,14.00 (8.00 Cash plus 6.00 PIK),12/31/19,44771,44771,46114,,
163,Energy – Oil & Gas,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche B Note,14.00 PIK,12/31/19,78536,44380,47788,(13)(14),
164,Energy – Oil & Gas,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,12/31/19,2800,0,0,(21)(23),
165,Energy – Oil & Gas,"SHD Oil & Gas, LLC (5)",Common Equity/Interests - Series A Units,N/A,N/A,"7,600,000 Shares",1412,0,(13)(29),
170,Bumble Bee Foods,"Bumble Bee Holdings, Inc.",First Lien Secured Debt,"10.31 (3M L+800, 1.00 Floor)",08/15/23,15429,15165,15120,,
171,Bumble Bee Foods,Connors Bros Clover Leaf Seafoods Company,First Lien Secured Debt,"10.31 (3M L+800, 1.00 Floor)",08/15/23,4371,4297,4284,,
173,Bumble Bee Foods,"Grocery Outlet, Inc.",Second Lien Secured Debt,"10.49 (1M L+825, 1.00 Floor)",10/21/22,25000,24808,25125,(10),
177,Altasciences,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.49 (1M L+625, 1.00 Floor)",06/09/23,2884,2833,2776,(9)(17),
178,Altasciences,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.00 (1M L+625, 1.00 Floor)",06/09/23,2406,1760,1791,(9)(17),
179,Altasciences,"Altasciences US Acquisition, Inc.",First Lien Secured Debt,"8.49 (1M L+625, 1.00 Floor)",06/09/23,5209,5117,5013,(9),
180,Altasciences,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,06/09/23,1425,(4,(53,(8)(9)(21)(23)(28),
181,Altasciences,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/09/23,2851,(5,(107,(8)(9)(21)(23)(28),
183,Altasciences,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"7.99 (1M L+575, 1.00 Floor)",06/05/24,6030,5887,5886,(9),
184,Altasciences,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"7.92 (1M L+575, 1.00 Floor)",06/05/24,1809,1787,1765,(9),
185,Altasciences,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/05/24,18340,(149,(438,(8)(9)(21)(23),
186,Altasciences,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/05/24,806,(12,(19,(8)(9)(21)(23),
188,Altasciences,Analogic Corporation,First Lien Secured Debt,"8.21 (1M L+600, 1.00 Floor)",06/22/24,27391,26738,27117,(9),
189,Altasciences,Analogic Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/22/23,2609,(62,(26,(8)(9)(21)(23),
191,Altasciences,Aptevo Therapeutics Inc.,First Lien Secured Debt,"9.86 (1M L+760, 0.50 Floor)",02/01/23,8571,8688,8532,(9),
192,Altasciences,"Argon Medical Devices Holdings, Inc.",Second Lien Secured Debt,"10.24 (1M L+800, 1.00 Floor)",01/23/26,19600,19510,19759,(10),
193,Altasciences,"Avalign Technologies, Inc.",Second Lien Secured Debt,"10.76 (6M L+825, 1.00 Floor)",09/02/24,5500,5454,5459,,
194,Altasciences,"BioClinica Holding I, LP",Second Lien Secured Debt,"10.63 (3M L+825, 1.00 Floor)",10/21/24,24612,24225,22643,(10),
195,Altasciences,"Elements Behavioral Health, Inc.",Second Lien Secured Debt,"15.15 (3M L+1275 PIK, 1.00 Floor)",02/11/20,12353,11911,0,(13)(14),
196,Altasciences,"Genesis Healthcare, Inc.",First Lien Secured Debt,"8.40 (3M L+600, 0.50 Floor)",03/06/23,25000,24668,24673,(9),
197,Altasciences,"Genesis Healthcare, Inc.",First Lien Secured Debt,"13.40 (3M L+1100, 1.00 Floor)",03/06/23,4565,4565,4506,(9),
198,Altasciences,"Genesis Healthcare, Inc.",First Lien Secured Debt - Revolver,"8.40 (3M L+600, 0.50 Floor)",03/06/23,19522,19522,19270,(9)(23),
199,Altasciences,"Genesis Healthcare, Inc.",First Lien Secured Debt - Revolver,"5.65 (3M L+325, 0.50 Floor)",03/06/23,12167,12167,12010,(9)(23),
200,Altasciences,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/06/23,29180,(696,(377,(8)(9)(21)(23),
201,Altasciences,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,2.00 Unfunded,03/06/23,4565,(162,(60,(8)(9)(21)(23),
203,Altasciences,"Invuity, Inc.",First Lien Secured Debt,"8.76 (1M L+650, 1.50 Floor)",03/01/22,10000,9896,11000,(9),
204,Altasciences,"Invuity, Inc.",First Lien Secured Debt - Revolver,"5.51 (1M L+325, 1.50 Floor)",03/01/22,446,446,455,(9)(23),
205,Altasciences,"Invuity, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/01/22,2554,(1,0,(9)(21)(23),
206,Altasciences,"Invuity, Inc.",Common Equity/Interests - Warrants,N/A,N/A,"32,803 Warrants",180,0,(9)(13),
208,Altasciences,"Lanai Holdings III, Inc.",Second Lien Secured Debt,"10.84 (3M L+850, 1.00 Floor)",08/28/23,17391,17027,16609,(10),
209,Altasciences,"LSCS Holdings, Inc",Second Lien Secured Debt,10.64 (3M L+825),03/16/26,16669,16318,16586,,
210,Altasciences,"LSCS Holdings, Inc",Second Lien Secured Debt,10.64 (3M L+825),03/16/26,3149,3083,3133,,
211,Altasciences,"LSCS Holdings, Inc",Second Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,03/16/26,1397,(14,(3,(8)(21)(23),
213,Altasciences,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"8.37 (3M L+600, 1.00 Floor)",11/22/23,24860,24332,24375,(9),
214,Altasciences,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/22/22,1558,(7,(31,(8)(9)(21)(23),
216,Altasciences,"Oxford Immunotec, Inc.",First Lien Secured Debt,"9.86 (1M L+760, 0.50 Floor)",10/01/21,9750,9949,9985,(9)(17),
217,Altasciences,"Oxford Immunotec, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/01/21,1000,0,0,(9)(17)(21)(23),
219,Altasciences,"Partner Therapeutics, Inc",First Lien Secured Debt,"8.91 (1M L+665, 1.00 Floor)",01/01/23,10000,9840,9845,(9),
220,Altasciences,"Partner Therapeutics, Inc",Preferred Equity - Preferred Stock,N/A,N/A,"55,556 Shares",333,333,(9),
221,Altasciences,"Partner Therapeutics, Inc",Common Equity/Interests - Warrants,N/A,N/A,"33,333 Warrants",135,99,(9)(13),
223,Altasciences,"PTC Therapeutics, Inc",First Lien Secured Debt,"8.41 (1M L+615, 1.00 Floor)",05/01/21,12667,12626,12793,(9)(17),
224,Altasciences,"PTC Therapeutics, Inc",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/01/21,6333,(2,0,(9)(17)(21)(23),
226,Altasciences,"RiteDose Holdings I, Inc.",First Lien Secured Debt,"9.15 (3M L+675, 1.00 Floor)",09/13/23,14888,14487,14319,(9),
227,Altasciences,"RiteDose Holdings I, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/22,2000,(7,(67,(8)(9)(21)(23),
229,Altasciences,"Teladoc, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/14/20,1306,(40,(1,(8)(17)(21)(23),
230,Altasciences,"Teladoc, Inc.",First Lien Secured Debt - Letters of Credit,7.25,1/12/19 - 5/15/20,360,0,0,(8)(17)(23),
232,Altasciences,"TherapeuticsMD, Inc.",First Lien Secured Debt,"10.01 (1M L+775, 1.50 Floor)",05/01/23,22500,22346,22275,(9)(17),
233,Altasciences,"TherapeuticsMD, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/01/23,37500,(350,(375,(8)(9)(17)(21)(23),
235,Altasciences,"Wright Medical Group, Inc.",First Lien Secured Debt,"10.11 (1M L+785, 1.00 Floor)",12/23/21,6667,6548,6533,(9)(17),
236,Altasciences,"Wright Medical Group, Inc.",First Lien Secured Debt - Revolver,"6.51 (1M L+425, 0.75 Floor)",12/23/21,11933,11933,11933,(9)(17)(23),
237,Altasciences,"Wright Medical Group, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/23/21,38067,(323,0,(9)(17)(21)(23),
240,High Tech Industries,"ChargePoint, Inc.",First Lien Secured Debt,"8.81 (1M L+655, 1.25 Floor)",06/01/23,10500,10400,10411,(9),
241,High Tech Industries,"ChargePoint, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,06/01/23,3000,(29,0,(9)(21)(23),
243,High Tech Industries,ChyronHego Corporation,First Lien Secured Debt,"7.43 (3M L+643, 1.00 Floor)",03/09/20,34812,34584,33419,(18),
244,High Tech Industries,"DigiCert Holdings, Inc.",Second Lien Secured Debt,"10.24 (1M L+800, 1.00 Floor)",10/31/25,15196,15129,15111,(10),
245,High Tech Industries,"FiscalNote, Inc.",First Lien Secured Debt,"10.17 (1M L+800, 1.00 Floor)",08/21/23,28125,27369,27352,(9),
246,High Tech Industries,"FiscalNote, Inc.",First Lien Secured Debt - Revolver,"10.22 (1M L+800, 1.00 Floor)",08/21/23,1125,1125,1094,(9)(23),
247,High Tech Industries,"FiscalNote, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/21/23,1500,(71,(41,(8)(9)(21)(23),
248,High Tech Industries,"FiscalNote, Inc.",Preferred Equity - Series F Preferred Stock,N/A,N/A,"259,564 Shares",1500,1500,(9),
250,High Tech Industries,"International Cruise & Excursion Gallery, Inc.",First Lien Secured Debt,"7.49 (1M L+525, 1.00 Floor)",06/06/25,14962,14675,14888,,
252,LabVantage Solutions,LabVantage Solutions Inc.,First Lien Secured Debt,"9.74 (1M L+750, 1.00 Floor)",12/29/20,12421,12238,12297,,
253,LabVantage Solutions,LabVantage Solutions Limited,First Lien Secured Debt,"7.50 (1M E+750, 1.00 Floor)",12/29/20,12195,12930,14023,(17),
254,LabVantage Solutions,LabVantage Solutions Limited,First Lien Secured Debt - Revolver,"7.50 (1M E+750, 1.00 Floor)",12/29/20,609,750,700,(17)(23),
255,LabVantage Solutions,LabVantage Solutions Limited,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/29/20,2827,(120,(33,(8)(17)(21)(23),
257,LabVantage Solutions,"Omnitracs, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/23/23,3750,(302,(338,(8)(21)(23),
258,LabVantage Solutions,"Smokey Merger Sub, Inc.",Second Lien Secured Debt,"10.82 (3M L+850, 1.00 Floor)",05/24/24,30000,29272,30300,(9),
