,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
20,"Vari-Form Group, LLC",First Lien Secured Debt,L+11.00% (7.00% Cash plus 4.00% PIK),02/02/23,5860,5382,938,(9)(13)(14),
21,Vari-Form Inc.,First Lien Secured Debt,L+11.00% (7.00% Cash plus 4.00% PIK),02/02/23,2446,2604,391,(9)(13)(14),
22,"K&N Parent, Inc.",Second Lien Secured Debt,"11.15% (1M L+875, 1.00% Floor)",10/21/24,23765,23444,23289,(10),
23,Aviation and Consumer Transport,,,,,,,,
24,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Revolver,12.00%,10/31/23,325200,325200,325200,(23),
25,"Merx Aviation Finance, LLC (5)",First Lien Secured Debt - Letter of Credit,2.25%,07/13/19,177,-,-,(23),
26,"Merx Aviation Finance, LLC (5)",Common Equity/Interests - Membership Interests,N/A,N/A,N/A,15000,55715,,
27,"Beverage, Food & Tobacco",,,,,,,,
28,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"9.12% (6M L+650, 1.00% Floor)",06/14/24,24333,24107,23968,(9),
29,"Eagle Foods Family Group, LLC",First Lien Secured Debt,"8.82% (3M L+650, 1.00% Floor)",06/14/24,417,413,410,(9),
30,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Revolver,"9.12% (6M L+650, 1.00% Floor)",06/14/23,917,917,903,(9)(23),
31,"Eagle Foods Family Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,06/14/23,2833,(33),(43),(8)(9)(21)(23),
32,Florida Food Group,,,,,,,,
33,"Florida Food Products, Inc.",First Lien Secured Debt,"9.15% (1M L+675, 1.00% Floor)",09/08/25,23113,22602,22882,(9),
34,"Florida Food Products, LLC",First Lien Secured Debt - Revolver,"9.15% (1M L+675, 1.00% Floor)",09/06/23,1473,1473,1458,(9)(23),
35,"Florida Food Products, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,09/06/23,240,(36),(2),(8)(9)(21)(23),
36,IC Holdings LLC,Common Equity - Series A Units,N/A,N/A,169 Shares,169,169,(9)(13),
37,THLP CO. LLC,First Lien Secured Debt,"7.90% (1M L+550, 1.00% Floor)",05/30/25,19562,19176,19171,(9),
38,THLP CO. LLC,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,05/31/24,4494,(88),(90),(8)(9)(21)(23),
39,THLP CO. LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,05/30/25,5618,(54),(112),(8)(9)(21)(23),
40,TNT Crust LLC,First Lien Secured Debt,"8.65% (1M L+625, 1.00% Floor)",11/06/23,9060,8903,8879,(9),
41,TNT Crust LLC,First Lien Secured Debt,"7.63% (1M L+525, 1.00% Floor)",11/06/23,10403,10196,10195,(9),
42,TNT Crust LLC,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,11/06/23,3252,(61),(65),(8)(9)(21)(23),
43,TNT Crust LLC,Common Equity - Series A Units,N/A,N/A,244 Shares,30,321,(9)(13),
44,"Wm. Bolthouse Farms, Inc.",Common Equity - Common Stock,N/A,N/A,"1,000,000 Shares",1000,1000,(13),
45,Business Services,,,,,,,,
46,"Access CIG, LLC",Second Lien Secured Debt,10.07% (3M L+775),02/27/26,15900,15776,15811,(10),
47,Aero Operating LLC,First Lien Secured Debt,"9.65% (1M L+725, 1.00% Floor)",12/29/22,36803,36140,36435,(9),
48,Aero Operating LLC,First Lien Secured Debt - Unfunded Revolver,1.00% Unfunded,12/29/22,3773,(84),(38),(8)(9)(21)(23),
49,Aero Operating LLC,First Lien Secured Debt - Letters of Credit,L+400,04/30/20 - 06/21/20,1039,-,(10),(8)(9)(23),
50,Ambrosia Buyer Corp.,Second Lien Secured Debt,"10.20% (6M L+800, 1.00% Floor)",08/28/25,21429,21016,20885,,
51,"Claritas, LLC",First Lien Secured Debt,"8.33% (1M L+600, 1.00% Floor)",12/21/23,3919,3883,3880,(9),
52,"Claritas, LLC",First Lien Secured Debt - Revolver,"8.40% (1M L+600, 1.00% Floor)",12/21/23,129,129,128,(9)(23),
53,"Claritas, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/21/23,902,(10),(9),(8)(9)(21)(23),
54,"Continuum Global Solutions, LLC",First Lien Secured Debt - Revolver,"7.90% (1M L+550, 1.00% Floor)",02/15/22,941,941,922,(9)(23),
55,"Continuum Global Solutions, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,02/15/22,9829,(189),(197),(8)(9)(21)(23),
56,"CT Technologies Intermediate Holdings, Inc",First Lien Secured Debt,"6.65% (1M L+425, 1.00% Floor)",12/01/21,4449,3896,3804,(9)(10),
57,"CT Technologies Intermediate Holdings, Inc",Second Lien Secured Debt,"11.40% (1M L+900, 1.00% Floor)",12/01/22,31253,30677,28128,(9),
58,Education Personnel,First Lien Secured Debt,"5.55% (3M GBP L+475, 0.50% Floor)",08/31/24,4118,5225,5192,(9)(17),
59,Education Personnel,First Lien Secured Debt - Revolver,"5.55% (3M GBP L+475, 0.50% Floor)",08/31/24,1471,1866,1854,(9)(17)(23),
60,Education Personnel,First Lien Secured Debt - Unfunded Delayed Draw,1.66% Unfunded,08/31/24,4412,-,-,(9)(17)(21)(23),
61,Electro Rent Corporation,Second Lien Secured Debt,"11.52% (2M L+900, 1.00% Floor)",01/31/25,34235,33456,33551,(9),
62,Jacent Strategic Merchandising,First Lien Secured Debt,"8.33% (3M L+575, 1.00% Floor)",04/23/24,22750,22422,22750,(9),
63,Jacent Strategic Merchandising,First Lien Secured Debt - Revolver,"8.08% (3M L+575, 1.00% Floor)",04/23/24,467,467,467,(9)(23),
64,Jacent Strategic Merchandising,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,04/23/24,3033,(51),-,(9)(21)(23),
65,Jacent Strategic Merchandising,Common Equity/Interests - Membership Interests,N/A,N/A,"5,000 Shares",500,500,(9)(13),
66,McLarens Global Ltd.,,,,,,,,
67,Margaux Acquisition Inc.,First Lien Secured Debt,"8.32% (3M L+600, 1.00% Floor)",12/19/24,18943,18623,18754,(9),
68,Margaux Acquisition Inc.,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/19/24,1601,(29),(16),(8)(9)(21)(23),
69,Margaux Acquisition Inc.,First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,12/19/24,4461,(106),(45),(8)(9)(21)(23),
70,Margaux UK Finance Limited,First Lien Secured Debt,"7.00% (3M GBP L+600, 1.00% Floor)",12/19/24,5940,7369,7485,(9)(17),
71,Margaux UK Finance Limited,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/19/24,541,(12),(7),(8)(9)(17)(21)(23),
72,Margaux UK Finance Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,12/19/24,1353,(31),(17),(8)(9)(17)(21)(23),
73,"Ministry Brands, LLC",Second Lien Secured Debt,"11.58% (3M L+925, 1.00% Floor)",6/2/2023,10000,9908,10050,,
74,"Newscycle Solutions, Inc.",First Lien Secured Debt,"9.40% (1M L+700, 1.00% Floor)",12/29/22,16427,16140,16263,(9),
75,"Newscycle Solutions, Inc.",First Lien Secured Debt - Revolver,"9.40% (1M L+700, 1.00% Floor)",12/29/22,320,320,317,(9)(23),
76,"Newscycle Solutions, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/29/22,180,(9),(2),(8)(9)(21)(23),
77,"PSI Services, LLC",First Lien Secured Debt,"7.40% (1M L+500, 1.00% Floor)",01/20/23,4563,4495,4540,(9),
78,"PSI Services, LLC",First Lien Secured Debt - Revolver,"10.50% (P+500, 1.00% Floor)",01/20/22,278,278,277,(9)(23),
79,"PSI Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,01/20/22,47,-,-,(8)(9)(21)(23),
80,"RA Outdoors, LLC",First Lien Secured Debt,"7.15% (1M L+475, 1.00% Floor)",09/11/24,7120,7014,6942,(9),
81,"RA Outdoors, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,09/09/22,1176,(15),(24),(8)(9)(21)(23),
82,"RA Outdoors, LLC",First Lien Secured Debt - Letter of Credit,4.75%,08/28/19,24,-,-,(8)(9)(23),
83,"RA Outdoors, LLC",Second Lien Secured Debt,"11.15% (1M L+875, 1.00% Floor)",09/11/25,34200,33536,33174,(9),
84,"STG-Fairway Acquisitions, Inc.",Second Lien Secured Debt,"11.65% (1M L+925, 1.00% Floor)",06/30/23,15000,14811,14400,,
85,TGG TS Acquisition Company,First Lien Secured Debt - Revolver,8.90% (1M L+650),12/14/23,290,290,283,(23),
86,TGG TS Acquisition Company,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/14/23,1460,-,(37),(8)(21)(23),
87,"Transplace Holdings, Inc.",Second Lien Secured Debt,"11.15% (1M L+875, 1.00% Floor)",10/06/25,8599,8429,8427,(10),
88,U.S. Legal Support,,,,,,,,
89,"USLS Acquisition, Inc.",First Lien Secured Debt,"8.19% (3M L+575, 1.00% Floor)",12/02/24,19999,19638,19616,(9),
90,"USLS Acquisition, Inc.",First Lien Secured Debt,"8.08% (3M L+575, 1.00% Floor)",12/02/24,1738,1721,1704,(9),
91,"USLS Acquisition, Inc.",First Lien Secured Debt - Revolver,8.08% (3M L+575),12/02/24,536,536,526,(9)(23),
92,"USLS Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/02/24,986,(29),(19),(8)(9)(21)(23),
93,"USLS Acquisition, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,12/02/24,2948,(42),(53),(8)(9)(21)(23),
94,"USLS Acquisition, Inc.",First Lien Secured Debt - Letter of Credit,5.75%,10/15/19 - 06/06/20,86,-,(1),(8)(9)(23),
95,"US Legal Support Investment Holdings, LLC",Common Equity/Interests - Series A-1 Units,N/A,N/A,"631,972 Shares",632,684,(9)(13),
96,"Vertafore, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,06/30/23,14576,"(1,381)","(1,676)",(8)(21)(23),
97,"Vertafore, Inc.",First Lien Secured Debt - Letter of Credit,3.25%,01/17/20,424,-,(49),(8)(23),
98,"Chemicals, Plastics & Rubber",,,,,,,,
99,Carbon Free Chemicals,,,,,,,,
100,Carbonfree Caustic SPE LLC,First Lien Secured Debt,5.00%,12/31/21,11200,11200,11200,,
101,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),First Lien Secured Debt,5.22% PIK,12/31/21,50305,50305,43732,,
102,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),First Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,12/31/21,1911,-,-,(21)(23),
103,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC),Common Equity/Interests - Membership Interests,N/A,N/A,"9,000,000 Shares",9000,-,(13),
104,"Hare Bidco, Inc.",Second Lien Secured Debt,9.75% (3M E+875),08/01/24,13574,14475,15304,,
105,"Westfall Technik, Inc.",First Lien Secured Debt,"7.83% (3M L+550, 1.00% Floor)",09/13/24,15132,14953,14981,(9),
106,"Westfall Technik, Inc.",First Lien Secured Debt - Revolver,"8.04% (3M L+550, 1.00% Floor)",09/13/24,1077,1077,1066,(9)(23),
107,"Westfall Technik, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,09/13/24,942,(35),(9),(8)(9)(21)(23),
108,"Westfall Technik, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,09/13/24,13774,(225),(138),(8)(9)(21)(23),
109,Construction & Building,,,,,,,,
110,Englert,,,,,,,,
111,"Gutter Buyer, Inc.",First Lien Secured Debt,"8.66% (1M L+625, 1.00% Floor)",03/06/25,23864,23298,23276,(9),
112,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,03/06/24,2727,(64),(67),(8)(9)(21)(23),
113,"Gutter Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,03/06/25,3409,(48),(50),(8)(9)(21)(23),
114,"Gutter Holdings, LP",Common Equity/Interests - Membership Interests,N/A,N/A,500 Shares,500,551,(9)(13),
115,Consumer Goods – Durable,,,,,,,,
116,"Hayward Industries, Inc.",Second Lien Secured Debt,10.65% (1M L+825),08/04/25,21919,21661,21590,,
117,KDC US Holdings,First Lien Secured Debt - Revolver,7.75% (P+225),12/21/23,1445,1445,1323,(23),
118,KDC US Holdings,First Lien Secured Debt - Unfunded Revolver,0.25% Unfunded,12/21/23,4471,-,(376),(8)(21)(23),
119,KDC US Holdings,First Lien Secured Debt - Letters of Credit,3.25%,12/31/19 - 03/08/20,104,-,(9),(8)(23),
120,KLO Holdings,,,,,,,,
121,9357-5991 Quebec Inc.,First Lien Secured Debt,10.25% (1M L+775),04/07/22,8763,8702,7447,(13)(14),
122,KLO Acquisition LLC,First Lien Secured Debt,10.25% (1M L+775),04/07/22,5073,5038,4311,(13)(14),
123,"Project Comfort Buyer, Inc.",First Lien Secured Debt,"9.81% (6M L+700, 1.00% Floor)",02/03/25,23621,22960,23384,(9),
124,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,02/01/24,3462,(95),(35),(8)(9)(21)(23),
125,"Project Comfort Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,02/03/25,2308,(32),(23),(8)(9)(21)(23),
126,"Project Comfort Buyer, Inc.",Preferred Equity - Preferred Equity,N/A,N/A,"461,538 Shares",462,508,(9)(13),
127,"Sorenson Holdings, LLC",Common Equity/Interests - Membership Interests,N/A,N/A,587 Shares,-,477,(10)(13),
128,Consumer Goods – Non-durable,,,,,,,,
129,"ABG Intermediate Holdings 2, LLC",Second Lien Secured Debt,"10.15% (1M L+775, 1.00% Floor)",09/29/25,7229,7205,7162,(10),
130,"BIG Buyer, LLC",First Lien Secured Debt,"8.90% (1M L+650, 1.00% Floor)",11/20/23,29190,28419,28898,(9),
131,"BIG Buyer, LLC",First Lien Secured Debt - Revolver,"8.90% (1M L+650, 1.00% Floor)",11/20/23,361,361,357,(9)(23),
132,"BIG Buyer, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,11/20/23,1444,(48),(14),(8)(9)(21)(23),
133,Lion Cashmere Midco Limited,First Lien Secured Debt,"8.42% (6M L+575, 1.00% Floor)",03/21/25,13053,12835,12694,(9)(17),
134,Lion Cashmere Midco Limited,First Lien Secured Debt - Revolver,"6.25% (E+525, 1.00% Floor)",03/21/24,225,256,250,(9)(17)(23),
135,Lion Cashmere Midco Limited,First Lien Secured Debt - Unfunded Revolver,1.8375% Unfunded,03/21/24,960,(22),(30),(8)(9)(17)(21)(23),
136,Lion Cashmere Midco Limited,First Lien Secured Debt - Unfunded Delayed Draw,2.0125% Unfunded,03/21/25,2372,(45),(74),(8)(9)(17)(21)(23),
137,"Protein For Pets Opco, LLC",First Lien Secured Debt,"7.52% (3M L+500, 1.00% Floor)",11/28/25,12781,12529,12525,(9),
138,"Protein For Pets Opco, LLC",First Lien Secured Debt - Revolver,"7.38% (1M L+500, 1.00% Floor)",05/31/24,178,178,174,(9)(23),
139,"Protein For Pets Opco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,05/31/24,2041,(57),(41),(8)(9)(21)(23),
140,Reddy Ice Corporation,First Lien Secured Debt,"9.94% (1M L+750, 1.00% Floor)",06/30/23,32583,32196,32583,(9),
141,Reddy Ice Corporation,First Lien Secured Debt - Revolver,12.00% (P+650),06/30/23,2049,2049,2049,(9)(23),
142,Reddy Ice Corporation,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,06/30/23,295,(35),-,(9)(21)(23),
143,Reddy Ice Corporation,First Lien Secured Debt - Unfunded Delayed Draw,3.75% Unfunded,06/30/23,1337,(10),-,(9)(21)(23),
144,Reddy Ice Corporation,First Lien Secured Debt - Letters of Credit,4.50%,04/05/20 - 04/10/20,575,-,-,(9)(23),
145,"Sequential Brands Group, Inc.",Second Lien Secured Debt,11.15% (1M L+875),02/07/24,12965,12866,12835,(17),
146,Consumer Services,,,,,,,,
147,1A Smart Start LLC,Second Lien Secured Debt,"10.65% (1M L+825, 1.00% Floor)",08/22/22,25100,24761,24729,,
148,"First Heritage Credit, LLC",First Lien Secured Debt,7.15% (1M L+475),04/02/22,16500,16349,16331,(9),
149,"First Heritage Credit, LLC",First Lien Secured Debt - Revolver,7.90% (1M L+550),04/02/22,804,804,797,(9)(23),
150,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,04/02/22,2946,(34),(28),(8)(9)(21)(23),
151,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,04/02/22,9750,(89),(100),(8)(9)(21)(23),
152,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"7.18% (1M BBSW+575, 1.00% Floor)",04/06/24,A$,6768,4912,4654,(17)
153,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt - Unfunded Delayed Draw,2.59% Unfunded,04/06/24,A$,232,(9),(3),(8)(17)(21)(23)
154,"Paper Source, Inc.",First Lien Secured Debt,"9.52% (3M L+700, 1.00% Floor)",05/22/24,11918,11685,11679,(9),
155,"Paper Source, Inc.",First Lien Secured Debt - Revolver,11.50% (P+600),05/22/24,1274,1274,1248,(9)(23),
156,"Paper Source, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,05/22/24,1808,(60),(36),(8)(9)(21)(23),
157,"Pinstripe Holdings, LLC",First Lien Secured Debt,8.41% (2M L+600),01/17/25,6983,6853,6878,,
158,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt,8.15% (1M L+575),12/28/23,11333,11231,11220,(9)(17),
159,"U.S. Auto Finance, Inc.",First Lien Secured Debt,7.07% (3M L+475),04/17/22,11000,10963,10956,(9),
160,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Revolver,7.82% (3M L+550),04/17/22,8652,8652,8614,(9)(23),
161,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,04/17/22,11348,(97),(50),(8)(9)(21)(23),
162,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,04/17/22,9000,(56),(41),(8)(9)(21)(23),
163,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,2.00% Unfunded,12/31/20,2000,(54),(54),(8)(9)(21)(23),
164,"Containers, Packaging & Glass",,,,,,,,
165,"Sprint Industrial Holdings, LLC",Second Lien Secured Debt,13.5% PIK,11/14/19,22505,22141,22289,,
166,"Sprint Industrial Holdings, LLC",Common Equity/Interests - Warrants,N/A,N/A,"7,341 Warrants",-,-,(13)(26),
167,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Revolver,7.75% (P+225),11/30/21,1418,1418,1419,(23),
168,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,11/30/21,4208,(245),-,(21)(23),
169,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,
170,Alera Group Intermediate Holdings,First Lien Secured Debt,6.90% (1M L+450),08/01/25,19950,19786,19962,(10),
171,Alera Group Intermediate Holdings,First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,08/01/25,8000,(68),(72),(8)(21)(23),
172,Compu-Link Corporation,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,06/11/24,2273,(51),(51),(8)(9)(21)(23),
173,"Exeter Property Group, LLC",First Lien Secured Debt,6.90% (1M L+450),08/28/24,4808,4740,4738,(9),
174,"Exeter Property Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,08/28/24,192,(3),(3),(8)(9)(21)(23),
175,"Flock SPV I, LLC",First Lien Secured Debt,8.90% (1M L+650),08/30/22,9333,9270,9223,(9)(17),
176,"Flock SPV I, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,08/30/22,1333,(11),(16),(8)(9)(17)(21)(23),
177,"Flock SPV I, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,08/30/22,9333,(84),(111),(8)(9)(17)(21)(23),
178,"Golden Bear 2016-R, LLC (4)",Structured Products and Other - Membership Interests,N/A,09/20/42,-,16646,12961,(3)(17),
179,Mayfield Agency Borrower Inc.,Second Lien Secured Debt,10.90% (1M L+850),03/02/26,5000,4937,4944,(10),
180,"Peer Advisors, LLC",First Lien Secured Debt,"7.30% (1M L+550, 1.00% Floor)",06/11/24,22727,22222,22216,(9),
181,"Purchasing Power, LLC",First Lien Secured Debt,7.90% (1M L+550),08/09/19,13906,13906,13888,(9),
182,"Taupo River II, LLC",First Lien Secured Debt,"7.57% (3M L+525, 1.00% Floor)",06/08/20,14000,13965,13964,(9)(17),
183,"Ten-X, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,09/29/22,4680,(274),(293),(8)(21)(23),
184,Energy – Electricity,,,,,,,,
185,"AMP Solar Group, Inc. (4)",Common Equity/Interests - Class A Common Unit,N/A,N/A,"243,646 Shares",10000,6485,(13)(17),
186,Renew Financial,,,,,,,,
187,"AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,N/A,N/A,"534,375 Shares",534,639,(15)(17),
188,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,N/A,N/A,"1,505,868 Shares",8343,14844,(13),
189,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series D Preferred Stock,N/A,N/A,"436,689 Shares",5568,5955,(13),
190,Renew JV LLC (4),Common Equity/Interests - Membership Interests,N/A,N/A,N/A,1827,2696,(13)(17),
191,Solarplicity Group,,,,,,,,
192,Solarplicity Group Limited (4),First Lien Secured Debt,N/A,11/30/22,4331,5811,1761,(3)(13)(17),
193,Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00%,03/08/23,5562,7637,6983,(17),
194,Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5861,4757,(2)(13)(17),
195,Solarplicity UK Holdings Limited,Common Equity/Interests - Ordinary Shares,N/A,N/A,"2,825 Shares",4,81,(2)(13)(17),
196,Energy – Oil & Gas,,,,,,,,
197,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",First Lien Secured Debt,8.00% Cash (10.00% PIK Toggle),03/29/20,7000,7000,7000,,
198,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00% PIK Toggle (8.00% Cash),03/29/21,34554,34554,34554,,
199,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Common Equity/Interests - Common Stock,N/A,N/A,"5,000,000 Shares",30078,681,(13),
200,"Pelican Energy, LLC (4)",Common Equity/Interests - Membership Interests,N/A,N/A,"1,444 Shares",17508,4415,(13)(16)(17),
201,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00%,07/31/20,20400,20400,21012,,
202,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche A Note,4.00%,07/31/20,45457,45457,46821,,
203,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche B Note,3% PIK,07/31/20,82577,44380,31683,(13)(14),
204,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,07/31/20,1600,-,-,(21)(23),
205,"SHD Oil & Gas, LLC (5)",Common Equity/Interests - Series A Units,N/A,N/A,"7,600,000 Shares",1411,-,(13)(16),
206,Food & Grocery,,,,,,,,
207,Bumble Bee Foods,,,,,,,,
208,"Bumble Bee Holdings, Inc.",First Lien Secured Debt,"10.52% (3M L+800, 1.00% Floor)",08/15/23,15312,15083,14393,,
209,Connors Bros Clover Leaf Seafoods Company,First Lien Secured Debt,"10.52% (3M L+800, 1.00% Floor)",08/15/23,4338,4273,4078,,
210,Healthcare & Pharmaceuticals,,,,,,,,
211,Altasciences,,,,,,,,
212,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.77% (3M L+625, 1.00% Floor)",06/09/23,2375,1743,1749,(9)(17),
213,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.77% (3M L+625, 1.00% Floor)",06/09/23,2862,2819,2755,(9)(17),
214,"Altasciences US Acquisition, Inc.",First Lien Secured Debt,"8.77% (3M L+625, 1.00% Floor)",06/09/23,5123,5047,4931,(9),
215,"Altasciences US Acquisition, Inc.",First Lien Secured Debt,"8.58% (3M L+625, 1.00% Floor)",06/09/23,920,920,885,(9)(27),
216,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Revolver,"8.56% (3M L+625, 1.00% Floor)",06/09/23,962,962,926,(9)(23),
217,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.25% Unfunded,06/09/23,463,(21),(17),(8)(9)(21)(23)(27),
218,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,06/09/23,1931,(23),(72),(8)(9)(21)(23)(27),
