,Industry,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
20,Software & Services,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (16)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,First lien senior secured revolving loan ($0.6 par due 11/2025),6.75% (Base Rate + 3.50%/Q),11/12/2020,0.6,0.6
21,Software & Services,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (16)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,Second lien senior secured loan ($59.9 par due 11/2028),8.50% (Libor + 7.75%/Q),11/12/2020,59.9,59.9
22,Software & Services,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (16)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,"Series A-2 preferred shares (8,963 shares)",11.25% PIK (Libor + 11.00%/Q),12/23/2020,10.0,10.1
23,Software & Services,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (16)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,"Series A-3 preferred shares (11,952 shares)",11.00% PIK,11/24/2021,12.1,13.4
24,Software & Services,"Cardinal Parent, Inc. and Packers Software Intermediate Holdings, Inc. (16)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,"Series A preferred shares (24,898 shares)",11.21% PIK (Libor + 11.00%/Q),11/12/2020,28.3,28.0
25,Software & Services,"Consilio Midco Limited and Consilio Investment Holdings, L.P. (16)",Provider of sales software for the interior design industry,First lien senior secured loan ($27.8 par due 5/2028),6.25% (Euribor + 6.25%/Q),11/30/2021,27.7,27.5
26,Software & Services,"Consilio Midco Limited and Consilio Investment Holdings, L.P. (16)",Provider of sales software for the interior design industry,First lien senior secured loan ($32.9 par due 5/2028),6.75% (Libor + 5.75%/Q),5/28/2021,32.9,32.6
27,Software & Services,"Consilio Midco Limited and Consilio Investment Holdings, L.P. (16)",Provider of sales software for the interior design industry,First lien senior secured loan ($3.9 par due 5/2028),8.00% (Base Rate + 4.75%/Q),5/28/2021,3.9,3.8
28,Software & Services,"Consilio Midco Limited and Consilio Investment Holdings, L.P. (16)",Provider of sales software for the interior design industry,First lien senior secured loan ($11.3 par due 5/2028),6.75% (Libor + 5.75%/Q),5/28/2021,11.3,11.2
29,Software & Services,"Consilio Midco Limited and Consilio Investment Holdings, L.P. (16)",Provider of sales software for the interior design industry,"Common units (4,799,000 units)",,5/28/2021,4.8,6.0
30,Software & Services,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP (16)","Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors",Second lien senior secured loan ($155.7 par due 6/2029),7.00% (Libor + 6.50%/M),6/3/2021,155.7,155.7
31,Software & Services,"CoreLogic, Inc. and T-VIII Celestial Co-Invest LP (16)","Provider of information, insight, analytics, software and other outsourced services primarily to the mortgage, real estate and insurance sectors","Limited partnership units (59,665,989 units)",,4/29/2021,59.7,77.9
32,Software & Services,"Cority Software Inc., IQS, Inc. and Cority Parent, Inc. (16)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($6.3 par due 7/2026),6.00% (Libor + 5.00%/Q),7/2/2019,6.3,6.3
33,Software & Services,"Cority Software Inc., IQS, Inc. and Cority Parent, Inc. (16)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($4.4 par due 7/2026),6.00% (Libor + 5.00%/Q),10/15/2019,4.4,4.4
34,Software & Services,"Cority Software Inc., IQS, Inc. and Cority Parent, Inc. (16)","Provider of environmental, health and safety software to track compliance data",First lien senior secured loan ($1.1 par due 7/2026),8.00% (Libor + 7.00%/Q),9/3/2020,1.1,1.1
35,Software & Services,"Cority Software Inc., IQS, Inc. and Cority Parent, Inc. (16)","Provider of environmental, health and safety software to track compliance data",Preferred equity (198 shares),9.00% PIK,7/2/2019,0.2,0.6
36,Software & Services,"Cority Software Inc., IQS, Inc. and Cority Parent, Inc. (16)","Provider of environmental, health and safety software to track compliance data","Common equity (190,143 shares)",,7/2/2019,0.0,0.0
37,Software & Services,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc. (16)","Provider of a cloud-based, SaaS platform for talent management",First lien senior secured revolving loan,-%,10/15/2021,0.0,0.0
38,Software & Services,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc. (16)","Provider of a cloud-based, SaaS platform for talent management",Second lien senior secured loan ($137.5 par due 10/2029),7.00% (Libor + 6.50%/Q),10/15/2021,137.5,135.4
39,Software & Services,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc. (16)","Provider of a cloud-based, SaaS platform for talent management","Series A preferred shares (116,413 shares)",10.50% PIK,10/15/2021,119.0,119.0
40,Software & Services,"Cornerstone OnDemand, Inc. and Sunshine Software Holdings, Inc. (16)","Provider of a cloud-based, SaaS platform for talent management","Class A-1 common stock (1,360,100 shares)",,10/15/2021,13.6,13.3
41,Software & Services,Datix Bidco Limited,Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($0.1 par due 4/2025),4.18% (Libor + 4.00%/Q),10/7/2019,0.0,0.1
42,Software & Services,"DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",Provider of internet security tools and solutions,"Series A preferred shares (129,822 shares)",10.50% PIK,5/25/2021,138.1,138.1
43,Software & Services,"DCert Preferred Holdings, Inc. and Destiny Digital Holdings, L.P.",Provider of internet security tools and solutions,"Series A units (817,194 units)",,5/27/2021,13.3,13.4
44,Software & Services,Denali Holdco LLC and Denali Topco LLC (16),Provider of cybersecurity audit and assessment services,First lien senior secured loan ($37.3 par due 9/2027),7.00% (Libor + 6.00%/Q),9/15/2021,37.3,36.9
45,Software & Services,Denali Holdco LLC and Denali Topco LLC (16),Provider of cybersecurity audit and assessment services,"Class A units (2,549,000)",,9/15/2021,2.5,2.5
46,Software & Services,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured revolving loan,-%,8/4/2020,0.0,0.0
47,Software & Services,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured loan ($33.0 par due 8/2025),7.25% (Libor + 6.25%/Q),8/4/2020,32.4,33.0
48,Software & Services,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured loan ($8.9 par due 8/2025),6.75% (Libor + 5.75%/Q),3/4/2021,8.9,8.9
49,Software & Services,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured loan ($11.4 par due 8/2025),6.75% (Libor + 5.75%/Q),4/6/2021,11.3,11.4
50,Software & Services,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,First lien senior secured loan ($2.0 par due 8/2025),7.25% (Libor + 6.25%/Q),7/30/2021,2.0,2.0
51,Software & Services,"Diligent Corporation and Diligent Preferred Issuer, Inc. (16)",Provider of secure SaaS solutions for board and leadership team documents,"Preferred stock (13,140 shares)",10.50% PIK,4/6/2021,13.5,13.8
52,Software & Services,"Drilling Info Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,Second lien senior secured loan ($25.0 par due 7/2026),8.35% (Libor + 8.25%/M),2/11/2020,25.0,25.0
53,Software & Services,"Drilling Info Holdings, Inc. and Titan DI Preferred Holdings, Inc.",SaaS based business analytics company focused on oil and gas industry,Preferred stock (29.53 shares),13.50% PIK,2/11/2020,37.0,37.9
54,Software & Services,"DS Admiral Bidco, LLC (16)",Tax return software provider for government institutions,First lien senior secured loan ($11.9 par due 3/2028),6.75% (Libor + 5.75%/Q),3/16/2021,11.6,11.9
55,Software & Services,Dye & Durham Corporation (16),Provider of cloud-based software and technology solutions for the legal industry,First lien senior secured loan ($72.0 par due 12/2027),6.50% (CDOR + 5.75%/Q),12/3/2021,70.9,70.9
56,Software & Services,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (16)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured revolving loan ($2.3 par due 9/2025),6.50% (Libor + 5.50%/Q),9/18/2019,2.3,2.3
57,Software & Services,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (16)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured loan ($62.0 par due 9/2025),6.50% (Libor + 5.50%/Q),9/18/2019,61.9,61.9
58,Software & Services,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (16)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured loan ($20.5 par due 9/2025),6.50% (Libor + 5.50%/Q),12/15/2020,20.5,20.5
59,Software & Services,"Elemica Parent, Inc. & EZ Elemica Holdings, Inc. (16)",SaaS based supply chain management software provider focused on chemical markets,"Preferred equity (4,599 shares)",,9/18/2019,4.6,5.5
60,Software & Services,"EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.",Provider of entertainment workforce and production management solutions,Second lien senior secured loan ($177.9 par due 11/2029),7.00% (Libor + 6.50%/Q),11/4/2021,177.9,176.1
61,Software & Services,"EP Purchaser, LLC and TPG VIII EP Co-Invest II, L.P.",Provider of entertainment workforce and production management solutions,"Partnership units (5,034,483 units)",,5/10/2019,3.2,9.8
62,Software & Services,EpiServer Inc. and Episerver Sweden Holdings AB (16),Provider of web content management and digital commerce solutions,First lien senior secured loan ($4.6 par due 4/2026),6.50% (Libor + 5.50%/Q),12/21/2021,4.6,4.6
63,Software & Services,EpiServer Inc. and Episerver Sweden Holdings AB (16),Provider of web content management and digital commerce solutions,First lien senior secured loan ($6.0 par due 4/2026),5.75% (Euribor + 5.75%/Q),3/22/2019,6.0,6.0
64,Software & Services,EpiServer Inc. and Episerver Sweden Holdings AB (16),Provider of web content management and digital commerce solutions,First lien senior secured loan ($0.1 par due 4/2026),6.50% (Libor + 5.50%/Q),10/9/2018,0.1,0.1
65,Software & Services,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT (16)","Provider of mission-critical, software-enabled clinical research solutions",Second lien senior secured loan ($22.5 par due 2/2028),8.50% (Libor + 8.00%/M),2/4/2020,22.0,22.4
66,Software & Services,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT (16)","Provider of mission-critical, software-enabled clinical research solutions",Second lien senior secured loan ($30.6 par due 2/2028),8.50% (Libor + 8.00%/M),4/27/2021,29.6,30.6
67,Software & Services,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT (16)","Provider of mission-critical, software-enabled clinical research solutions","Limited partnership interest (3,988,000 shares)",,1/31/2020,4.5,5.4
68,Software & Services,"ExtraHop Networks, Inc. (16)",Provider of real-time wire data analytics solutions for application and infrastructure monitoring,First lien senior secured loan ($16.6 par due 7/2027),8.50% (Libor + 7.50%/Q),7/22/2021,16.6,16.4
69,Software & Services,"ExtraHop Networks, Inc. (16)",Provider of real-time wire data analytics solutions for application and infrastructure monitoring,First lien senior secured loan ($1.1 par due 7/2027),8.50% (Libor + 7.50%/Q),7/20/2021,1.1,1.0
70,Software & Services,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",,3/20/2014,0.0,0.0
71,Software & Services,"FM:Systems Group, LLC (16)",Provider of facilities and space management software solutions,First lien senior secured revolving loan ($1.5 par due 12/2024),7.50% (Libor + 6.50%/Q),2/8/2018,1.5,1.5
72,Software & Services,"FM:Systems Group, LLC (16)",Provider of facilities and space management software solutions,First lien senior secured loan ($3.2 par due 12/2024),7.50% (Libor + 6.50%/Q),12/2/2019,3.2,3.2
73,Software & Services,"FM:Systems Group, LLC (16)",Provider of facilities and space management software solutions,First lien senior secured loan ($1.4 par due 12/2024),7.50% (Libor + 6.50%/Q),6/15/2021,1.4,1.4
74,Software & Services,"Forescout Technologies, Inc. (16)",Network access control solutions provider,First lien senior secured loan ($18.7 par due 8/2026),10.50% PIK (Libor + 9.50%/Q),8/17/2020,18.4,18.5
75,Software & Services,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management and SaaS-based software solutions to employees and administrators of K-12 school organizations,First lien senior secured loan ($14.9 par due 9/2023),6.25% (Libor + 5.25%/Q),12/30/2020,14.9,14.9
76,Software & Services,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management and SaaS-based software solutions to employees and administrators of K-12 school organizations,First lien senior secured loan ($0.1 par due 9/2023),6.25% (Libor + 5.25%/Q),6/15/2021,0.1,0.1
77,Software & Services,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management and SaaS-based software solutions to employees and administrators of K-12 school organizations,"Class A preferred units (4,574 units)",9.00% PIK,9/18/2017,6.2,6.7
78,Software & Services,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management and SaaS-based software solutions to employees and administrators of K-12 school organizations,"Class B common units (499,050 units)",,9/18/2017,0.0,7.9
79,Software & Services,Genesis Acquisition Co. and Genesis Ultimate Holding Co. (16),Child care management software and services provider,First lien senior secured revolving loan ($1.5 par due 7/2024),4.22% (Libor + 4.00%/Q),7/31/2018,1.5,1.5
80,Software & Services,Genesis Acquisition Co. and Genesis Ultimate Holding Co. (16),Child care management software and services provider,First lien senior secured loan ($9.1 par due 7/2024),5.25% (Libor + 4.50%/Q),11/16/2021,9.1,9.0
81,Software & Services,Genesis Acquisition Co. and Genesis Ultimate Holding Co. (16),Child care management software and services provider,First lien senior secured loan ($0.2 par due 7/2024),4.22% (Libor + 4.00%/Q),7/31/2018,0.2,0.2
82,Software & Services,Genesis Acquisition Co. and Genesis Ultimate Holding Co. (16),Child care management software and services provider,Second lien senior secured loan ($21.1 par due 7/2025),8.25% (Libor + 7.50%/Q),11/16/2021,21.1,20.7
83,Software & Services,Genesis Acquisition Co. and Genesis Ultimate Holding Co. (16),Child care management software and services provider,Second lien senior secured loan ($32.4 par due 7/2025),7.63% (Libor + 7.50%/Q),7/31/2018,32.4,31.4
84,Software & Services,Genesis Acquisition Co. and Genesis Ultimate Holding Co. (16),Child care management software and services provider,Second lien senior secured loan ($7.5 par due 7/2025),7.70% (Libor + 7.50%/Q),6/9/2021,7.5,7.3
85,Software & Services,Genesis Acquisition Co. and Genesis Ultimate Holding Co. (16),Child care management software and services provider,Class A common stock (8.39 shares),,7/31/2018,0.8,0.9
86,Software & Services,GI Ranger Intermediate LLC (16),Provider of payment processing services and software to healthcare providers,First lien senior secured loan ($35.1 par due 10/2028),6.75% (Libor + 6.00%/Q),10/29/2021,35.1,34.8
87,Software & Services,"Heavy Construction Systems Specialists, LLC (16)",Provider of construction software,First lien senior secured loan ($40.9 par due 11/2028),6.50% (Libor + 5.75%/Q),11/16/2021,40.9,40.5
88,Software & Services,"Huskies Parent, Inc., GI Insurity Parent LLC, and GI Insurity Topco LP (16)",Insurance software provider,First lien senior secured revolving loan ($1.6 par due 11/2027),6.25% (Libor + 5.50%/Q),11/3/2021,1.6,1.4
89,Software & Services,"Huskies Parent, Inc., GI Insurity Parent LLC, and GI Insurity Topco LP (16)",Insurance software provider,First lien senior secured loan ($105.8 par due 11/2028),6.25% (Libor + 5.50%/Q),11/3/2021,105.8,104.8
90,Software & Services,"Huskies Parent, Inc., GI Insurity Parent LLC, and GI Insurity Topco LP (16)",Insurance software provider,Senior subordinated loan ($90.2 par due 11/2031),10.00% PIK,11/3/2021,90.2,88.8
91,Software & Services,"Huskies Parent, Inc., GI Insurity Parent LLC, and GI Insurity Topco LP (16)",Insurance software provider,"Company units (4,243,657 units)",,11/3/2021,8.8,8.8
92,Software & Services,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",,10/15/2012,0.1,0.0
93,Software & Services,Inmar,"Technology-driven solutions provider for retailers, wholesalers and manufacturers",Second lien senior secured loan ($28.3 par due 5/2025),9.00% (Libor + 8.00%/Q),4/25/2017,28.1,28.3
94,Software & Services,Insightful Science,"Provider of data analysis, statistics, and visualization software solutions for scientific research applications",First lien senior secured loan ($0.5 par due 4/2027),7.00% (Libor + 6.00%/Q),12/21/2017,0.5,0.5
95,Software & Services,Insightful Science,"Provider of data analysis, statistics, and visualization software solutions for scientific research applications",First lien senior secured loan ($16.2 par due 4/2027),6.50% (Libor + 5.50%/Q),4/28/2021,16.2,16.0
96,Software & Services,Insightful Science,"Provider of data analysis, statistics, and visualization software solutions for scientific research applications",First lien senior secured loan ($7.9 par due 4/2027),6.50% (Libor + 5.50%/Q),10/14/2021,7.9,7.9
97,Software & Services,Insightful Science,"Provider of data analysis, statistics, and visualization software solutions for scientific research applications",First lien senior secured loan ($7.6 par due 4/2027),6.50% (Libor + 5.50%/Q),11/29/2021,7.6,7.5
98,Software & Services,Insightful Science,"Provider of data analysis, statistics, and visualization software solutions for scientific research applications",Senior subordinated loan ($39.2 par due 4/2032),10.50% PIK,4/28/2021,39.2,38.8
99,Software & Services,Insightful Science,"Provider of data analysis, statistics, and visualization software solutions for scientific research applications","Preferred units (1,828,645 units)",14.00% PIK,4/28/2021,50.5,50.5
100,Software & Services,"IV Rollover Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services","Class B units (170,490 units)",,5/31/2017,0.0,0.1
101,Software & Services,"IV Rollover Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services","Class X units (5,000,000 units)",,5/31/2017,2.1,2.2
102,Software & Services,"Majesco and Magic Topco, L.P. (16)",Insurance software provider,First lien senior secured loan ($42.2 par due 9/2027),8.25% (Libor + 7.25%/Q),9/21/2020,42.2,42.2
103,Software & Services,"Majesco and Magic Topco, L.P. (16)",Insurance software provider,"Class A units (2,539 units)",9.00% PIK,9/21/2020,2.8,4.0
104,Software & Services,"Majesco and Magic Topco, L.P. (16)",Insurance software provider,"Class B units (570,625 units)",,9/21/2020,0.0,0.0
105,Software & Services,"Ministry Brands Holdings, LLC and RCP MB Investments B, L.P. (16)",Software and payment services provider to faith-based institutions,First lien senior secured loan ($72.7 par due 12/2028),6.25% (Libor + 5.50%/Q),12/30/2021,72.7,72.0
106,Software & Services,"Ministry Brands Holdings, LLC and RCP MB Investments B, L.P. (16)",Software and payment services provider to faith-based institutions,"Limited partner interests (9,574,000 interests)",,12/30/2021,9.6,9.6
107,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to non-profit institutions,First lien senior secured revolving loan ($5.0 par due 12/2022),7.25% (Base Rate + 4.00%/Q),12/2/2016,5.0,5.0
108,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to non-profit institutions,First lien senior secured loan ($9.2 par due 12/2022),5.00% (Libor + 4.00%/M),4/6/2017,9.2,9.2
109,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to non-profit institutions,First lien senior secured loan ($4.7 par due 12/2022),5.00% (Libor + 4.00%/M),8/22/2017,4.7,4.7
110,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to non-profit institutions,Second lien senior secured loan ($106.6 par due 6/2023),10.25% (Libor + 9.25%/M),12/2/2016,106.4,106.6
111,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to non-profit institutions,Second lien senior secured loan ($13.9 par due 6/2023),10.25% (Libor + 9.25%/M),4/6/2017,13.9,13.9
112,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to non-profit institutions,Second lien senior secured loan ($17.9 par due 6/2023),10.25% (Libor + 9.25%/M),8/22/2017,17.9,17.9
113,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to non-profit institutions,Second lien senior secured loan ($48.9 par due 6/2023),9.00% (Libor + 8.00%/M),4/18/2018,48.9,48.9
114,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to non-profit institutions,"Class A units (500,000 units)",,12/2/2016,5.0,7.2
115,Software & Services,"Mitchell International, Inc.","Provider of technology, connectivity, and information solutions to the property and casualty insurance industry",Second lien senior secured loan ($91.2 par due 10/2029),7.00% (Libor + 6.50%/M),10/1/2021,90.3,91.6
116,Software & Services,"MMIT Holdings, LLC (16)",Provider of market intelligence and analysis for the pharmaceutical industry,First lien senior secured revolving loan ($0.6 par due 9/2027),7.25% (Libor + 6.25%/Q),9/15/2021,0.6,0.6
117,Software & Services,"MMIT Holdings, LLC (16)",Provider of market intelligence and analysis for the pharmaceutical industry,First lien senior secured loan ($18.2 par due 9/2027),7.25% (Libor + 6.25%/Q),9/15/2021,18.2,18.0
118,Software & Services,"MMIT Holdings, LLC (16)",Provider of market intelligence and analysis for the pharmaceutical industry,First lien senior secured loan ($13.7 par due 9/2027),7.25% (Libor + 6.25%/Q),10/21/2021,13.7,13.6
119,Software & Services,MRI Software LLC (16),Provider of real estate and investment management software,First lien senior secured loan ($51.5 par due 2/2026),6.50% (Libor + 5.50%/Q),2/10/2020,51.5,51.5
120,Software & Services,MRI Software LLC (16),Provider of real estate and investment management software,First lien senior secured loan ($4.5 par due 2/2026),6.50% (Libor + 5.50%/Q),8/28/2020,4.5,4.5
121,Software & Services,OpenMarket Inc.,Provider of cloud-based mobile engagement platform,First lien senior secured loan ($50.7 par due 9/2026),7.00% (Libor + 6.25%/Q),9/17/2021,50.7,50.1
122,Software & Services,"Paya, Inc and GTCR-Ultra Holdings LLC (16)",Provider of payment processing and merchant acquiring solutions,"Class B units (2,878,372 units)",,8/1/2017,0.0,2.1
123,Software & Services,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",,3/11/2016,0.2,0.0
124,Software & Services,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,First lien senior secured loan ($53.5 par due 10/2024),5.50% (Libor + 4.50%/Q),3/19/2019,53.5,53.5
125,Software & Services,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,Second lien senior secured loan ($7.2 par due 10/2025),9.50% (Libor + 8.50%/Q),12/7/2021,7.2,7.2
126,Software & Services,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,Second lien senior secured loan ($70.1 par due 10/2025),9.50% (Libor + 8.50%/Q),3/19/2019,70.1,70.1
127,Software & Services,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,Second lien senior secured loan ($8.3 par due 10/2025),9.50% (Libor + 8.50%/Q),12/17/2020,8.3,8.3
